"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.001,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121975,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.498,-21.111,892.433
0.002,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121918,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.498,-21.111,892.433
0.003,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,-0.00981,172.01,-2.98587,0.030508,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.496,-21.1215,892.442
0.004,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.00649278,-0.0101578,-0.00160465,172.01,-2.98597,0.0923576,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4911,-21.1312,892.477
0.005,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0308393,-0.0322415,0.0405583,172.007,-2.98485,0.146629,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4851,-21.1421,892.515
0.006,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0554318,-0.0638302,0.0847182,172.006,-2.98424,0.202099,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4776,-21.1533,892.556
0.007,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0802249,-0.102195,0.134006,172.006,-2.98462,0.259699,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4685,-21.1647,892.6
0.008,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.104352,-0.144598,0.188602,172.009,-2.98576,0.319872,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4579,-21.1761,892.646
0.009,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.12674,-0.188317,0.248321,172.013,-2.98778,0.378258,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.446,-21.1871,892.692
0.01,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.14351,-0.230959,0.306622,172.02,-2.99313,0.427402,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.4335,-21.1975,892.728
