"Timestamp","Actual_CoMX","Actual_CoMY","Actual_CoMZ","Trajectory_CoMX","Trajectory_CoMY","Trajectory_CoMZ","Actual_CoMVelX","Actual_CoMVelY","Actual_CoMVelZ","Trajectory_CoMVelX","Trajectory_CoMVelY","Trajectory_CoMVelZ","Actual_CoMAccX","Actual_CoMAccY","Actual_CoMAccZ","Trajectory_CoMAccX","Trajectory_CoMAccY","Trajectory_CoMAccZ"
0.001,93.3686,-21.5834,887.093,86.1308,-1.48228,860,0,0,0,1.19376,0.0171667,0,0,0,0,238.753,3.43334,0
0.002,93.3686,-21.5834,887.093,86.1308,-1.48228,860,-1.84821,-10.7059,9.49596,1.19376,0.0171667,0,0,0,0,238.753,3.43335,0
0.003,93.3668,-21.5941,887.102,86.1266,-1.4806,860,-4.70812,-10.1542,34.8833,1.19376,0.0171275,0,-2859.91,551.684,25387.4,238.753,3.4255,0
0.004,93.3621,-21.6042,887.137,86.1298,-1.48573,860,-5.58866,-11.5538,37.7424,1.19376,0.0171254,0,-880.539,-1399.56,2859.11,238.753,3.42509,0
0.005,93.3565,-21.6158,887.175,86.1406,-1.49622,860,-7.04924,-11.8186,40.8511,1.19376,0.0171094,0,-1460.58,-264.749,3108.66,238.753,3.42188,0
0.006,93.3494,-21.6276,887.216,86.1521,-1.5117,860,-8.58769,-11.9101,43.8549,1.19376,0.0170978,0,-1538.44,-91.5174,3003.78,238.753,3.41956,0
0.007,93.3409,-21.6395,887.259,86.1649,-1.53108,860,-10.2561,-11.8306,46.7584,1.19376,0.0170957,0,-1668.36,79.5164,2903.51,238.753,3.41915,0
0.008,93.3306,-21.6513,887.306,86.1783,-1.55285,860,-11.5399,-11.2521,44.9236,1.19376,0.0171019,0,-1283.88,578.463,-1834.81,238.753,3.42038,0
0.009,93.3191,-21.6626,887.351,86.1917,-1.57571,860,-12.1709,-10.2729,35.8482,1.19376,0.0171175,0,-630.984,979.197,-9075.42,238.753,3.42351,0
0.01,93.3069,-21.6729,887.387,86.2035,-1.59971,860,-12.4709,-10.1238,26.0235,1.19376,0.0171431,0,-299.958,149.113,-9824.67,238.753,3.42862,0
0.011,93.2944,-21.683,887.413,86.2138,-1.62854,860,-12.7506,-9.92529,16.185,1.19376,0.0171694,0,-279.691,198.496,-9838.54,238.753,3.43388,0
0.012,93.2817,-21.6929,887.429,86.2222,-1.66072,860,-13.0233,-9.59187,6.52455,1.19376,0.0172014,0,-272.718,333.416,-9660.4,238.753,3.44029,0
0.013,93.2686,-21.7025,887.436,86.2286,-1.69472,860,-13.4944,-8.79567,-2.52763,1.19376,0.0172426,0,-471.108,796.198,-9052.18,238.753,3.44853,0
0.014,93.2552,-21.7113,887.433,86.2325,-1.72756,860,-14.1563,-7.61117,-11.0881,1.19376,0.0172956,0,-661.944,1184.5,-8560.43,238.752,3.45912,0
0.015,93.241,-21.7189,887.422,86.2336,-1.75705,860,-14.9705,-6.10476,-19.2453,1.19376,0.017362,0,-814.173,1506.42,-8157.29,238.752,3.47241,0
0.016,93.226,-21.725,887.403,86.2316,-1.78145,860,-15.7214,-5.32897,-26.3225,1.19375,0.0174436,0,-750.862,775.786,-7077.15,238.752,3.48873,0
0.017,93.2103,-21.7304,887.377,86.2275,-1.80396,860,-16.3918,-5.10969,-32.2514,1.19375,0.017534,0,-670.443,219.282,-5928.89,238.752,3.50682,0
0.018,93.1939,-21.7355,887.344,86.2223,-1.82629,860,-17.091,-5.02334,-37.4926,1.19375,0.0176325,0,-699.221,86.3533,-5241.18,238.751,3.52651,0
0.019,93.1768,-21.7405,887.307,86.2163,-1.84861,860,-17.8057,-5.02354,-42.2928,1.19375,0.0177394,0,-714.645,-0.200272,-4800.22,238.751,3.54789,0
0.02,93.159,-21.7455,887.264,86.2096,-1.87108,860,-18.5378,-5.08753,-46.7734,1.19375,0.0178551,0,-732.107,-63.9977,-4480.57,238.751,3.57102,0
0.021,93.1405,-21.7506,887.218,86.2025,-1.89385,860,-19.2915,-5.1941,-51.0208,1.19375,0.0179797,0,-753.746,-106.564,-4247.46,238.75,3.59594,0
0.022,93.1212,-21.7558,887.167,86.1949,-1.91703,860,-20.0644,-5.34301,-55.068,1.19374,0.0181131,0,-772.816,-148.916,-4047.22,238.75,3.62262,0
0.023,93.1011,-21.7611,887.112,86.1869,-1.94069,860,-20.8564,-5.53028,-58.9443,1.19374,0.0182552,0,-792.063,-187.265,-3876.23,238.75,3.65104,0
0.024,93.0803,-21.7667,887.053,86.1785,-1.9649,860,-21.6675,-5.75247,-62.6746,1.19374,0.0184059,0,-811.109,-222.192,-3730.34,238.749,3.68118,0
0.025,93.0586,-21.7724,886.99,86.1698,-1.98968,860,-22.4973,-6.00682,-66.2792,1.19374,0.0185649,0,-829.74,-254.353,-3604.57,238.749,3.713,0
0.026,93.0361,-21.7784,886.924,86.1606,-2.01507,860,-23.345,-6.29106,-69.7741,1.19374,0.0187323,0,-847.753,-284.235,-3494.93,238.748,3.74646,0
0.027,93.0128,-21.7847,886.854,86.151,-2.04108,860,-24.2101,-6.60328,-73.1724,1.19373,0.0189076,0,-865.078,-312.217,-3398.31,238.748,3.78153,0
0.028,92.9885,-21.7913,886.781,86.1409,-2.06774,860,-25.0916,-6.94187,-76.4849,1.19373,0.0190908,0,-881.485,-338.593,-3312.45,238.747,3.81817,0
0.029,92.9635,-21.7983,886.704,86.1304,-2.09506,860,-25.9885,-7.30541,-79.7204,1.19373,0.0192816,0,-896.887,-363.546,-3235.56,238.746,3.85633,0
0.03,92.9375,-21.8056,886.624,86.1194,-2.12307,860,-26.8996,-7.69267,-82.8868,1.19372,0.0194798,0,-911.156,-387.251,-3166.35,238.746,3.89597,0
0.031,92.9106,-21.8133,886.542,86.108,-2.15178,860,-27.8239,-8.1025,-85.9905,1.19372,0.0196852,0,-924.238,-409.836,-3103.75,238.745,3.93704,0
0.032,92.8827,-21.8214,886.456,86.096,-2.18123,860,-28.7599,-8.53388,-89.0374,1.19372,0.0198975,0,-936.073,-431.375,-3046.87,238.744,3.97951,0
0.033,92.854,-21.8299,886.367,86.0835,-2.21145,860,-29.7066,-8.9858,-92.0325,1.19371,0.0201166,0,-946.619,-451.926,-2995.1,238.744,4.02333,0
0.034,92.8243,-21.8389,886.275,86.0704,-2.24245,860,-30.6625,-9.45733,-94.9802,1.19371,0.0203422,0,-955.917,-471.527,-2947.72,238.743,4.06845,0
0.035,92.7936,-21.8483,886.18,86.0569,-2.27429,860,-31.6265,-9.94753,-97.8846,1.1937,0.0205741,0,-963.993,-490.203,-2904.41,238.742,4.11483,0
0.036,92.762,-21.8583,886.082,86.0428,-2.30698,860,-32.5974,-10.4555,-100.749,1.1937,0.0208121,0,-970.974,-507.936,-2864.56,238.741,4.16243,0
0.037,92.7294,-21.8687,885.981,86.0282,-2.34058,860,-33.5744,-10.9802,-103.577,1.1937,0.021056,0,-976.936,-524.763,-2827.8,238.74,4.21121,0
0.038,92.6958,-21.8797,885.877,86.013,-2.3751,860,-34.5564,-11.5209,-106.371,1.19369,0.0213056,0,-982.014,-540.685,-2793.83,238.739,4.26113,0
0.039,92.6613,-21.8912,885.771,85.9974,-2.41057,860,-35.5427,-12.0766,-109.133,1.19369,0.0215608,0,-986.309,-555.711,-2762.2,238.739,4.31216,0
0.04,92.6257,-21.9033,885.662,85.9813,-2.44703,860,-36.5327,-12.6465,-111.866,1.19368,0.0218212,0,-989.998,-569.859,-2732.61,238.738,4.36426,0
0.041,92.5892,-21.916,885.55,85.9646,-2.4845,860,-37.5259,-13.2296,-114.57,1.19368,0.0220869,0,-993.191,-583.109,-2704.8,238.737,4.41739,0
0.042,92.5517,-21.9292,885.436,85.9475,-2.52298,860,-38.5219,-13.8251,-117.249,1.19367,0.0223576,0,-996.044,-595.508,-2678.44,238.736,4.47154,0
0.043,92.5131,-21.943,885.318,85.9299,-2.56251,860,-39.5206,-14.4322,-119.902,1.19367,0.0226333,0,-998.653,-607.072,-2653.35,238.735,4.52666,0
0.044,92.4736,-21.9575,885.198,85.9118,-2.60308,860,-40.5316,-15.0448,-122.535,1.19366,0.0229137,0,-1011.01,-612.587,-2632.83,238.733,4.58274,0
0.045,92.4331,-21.9725,885.076,85.8932,-2.64467,860,-41.5563,-15.6598,-125.15,1.19366,0.0231983,0,-1024.68,-615.057,-2615.14,238.732,4.63967,0
0.046,92.3915,-21.9882,884.951,85.8741,-2.68726,860,-42.5933,-16.2761,-127.747,1.19365,0.0234867,0,-1037.03,-616.329,-2597.1,238.731,4.69734,0
0.047,92.3489,-22.0044,884.823,85.8543,-2.73078,860,-43.5979,-16.9164,-130.308,1.19365,0.0237782,0,-1004.58,-640.259,-2560.42,238.73,4.75566,0
0.048,92.3053,-22.0214,884.693,85.8341,-2.77528,860,-44.641,-17.5488,-132.852,1.19364,0.0240747,0,-1043.16,-632.404,-2543.81,238.729,4.81494,0
0.049,92.2607,-22.0389,884.56,85.8133,-2.82068,860,-38.5964,-7.71888,-114.528,1.19363,0.0243742,0,6044.68,9829.93,18323.2,238.728,4.87485,0
0.05,92.2221,-22.0466,884.445,85.808,-2.83733,860,-36.5559,-4.83792,-102.404,1.19363,0.0246648,0,2040.47,2880.96,12124.1,238.727,4.93296,0
0.051,92.1856,-22.0515,884.343,85.8099,-2.83302,860,-34.4597,-2.23941,-98.1509,1.19362,0.0249505,0,2096.22,2598.51,4253.34,238.725,4.99012,0
0.052,92.1511,-22.0537,884.245,85.8138,-2.82615,860,-32.1322,0.336885,-98.6514,1.19362,0.0252331,0,2327.48,2576.29,-500.504,238.724,5.04662,0
0.053,92.119,-22.0534,884.146,85.8215,-2.81581,860,-29.691,2.92598,-101.038,1.19361,0.0255123,0,2441.15,2589.1,-2386.63,238.723,5.10248,0
0.054,92.0893,-22.0504,884.045,85.8333,-2.80163,860,-27.1579,5.495,-103.758,1.1936,0.0257885,0,2533.1,2569.02,-2720.02,238.722,5.1577,0
0.055,92.0621,-22.0449,883.941,85.8486,-2.78668,860,-24.6503,7.99865,-106.293,1.1936,0.0260611,0,2507.64,2503.64,-2535.32,238.721,5.21224,0
0.056,92.0375,-22.0369,883.835,85.8683,-2.76806,860,-22.1967,10.4283,-108.57,1.19359,0.026331,0,2453.61,2429.65,-2277,238.719,5.26622,0
0.057,92.0153,-22.0265,883.726,85.8938,-2.74238,860,-19.8038,12.7533,-110.652,1.19359,0.0265986,0,2392.93,2324.97,-2081.12,238.718,5.31974,0
0.058,91.9955,-22.0138,883.616,85.924,-2.71215,860,-17.4777,14.9624,-112.63,1.19358,0.0268642,0,2326.03,2209.15,-1978.31,238.717,5.37285,0
0.059,91.978,-21.9988,883.503,85.9584,-2.67897,860,-15.225,17.0518,-114.564,1.19357,0.027128,0,2252.68,2089.39,-1934.34,238.716,5.42561,0
0.06,91.9628,-21.9817,883.389,85.9968,-2.64306,860,-13.0378,19.0276,-116.481,1.19357,0.0273904,0,2187.25,1975.75,-1917.06,238.715,5.47809,0
0.061,91.9497,-21.9627,883.272,86.0391,-2.60464,860,-10.9383,20.8836,-118.401,1.19356,0.0276517,0,2099.45,1856,-1919.79,238.713,5.53036,0
0.062,91.9388,-21.9418,883.154,86.085,-2.56397,860,-8.93098,22.6237,-120.333,1.19356,0.0279123,0,2007.36,1740.12,-1931.63,238.712,5.58247,0
0.063,91.9298,-21.9192,883.033,86.1344,-2.52131,860,-7.01787,24.2537,-122.278,1.19355,0.0281722,0,1913.11,1630,-1945.8,238.711,5.63446,0
0.064,91.9228,-21.895,882.911,86.187,-2.47693,860,-5.19918,25.7807,-124.238,1.19354,0.0284318,0,1818.69,1527.04,-1959.18,238.71,5.68638,0
0.065,91.9176,-21.8692,882.787,86.2425,-2.43108,860,-3.47343,27.213,-126.208,1.19354,0.0286914,0,1725.75,1432.26,-1970.18,238.709,5.73829,0
0.066,91.9142,-21.842,882.661,86.3007,-2.38399,860,-1.83766,28.5592,-128.186,1.19353,0.028951,0,1635.77,1346.21,-1978.33,238.707,5.79022,0
0.067,91.9123,-21.8134,882.532,86.3612,-2.33588,860,-0.287652,29.8284,-130.169,1.19352,0.029211,0,1550.01,1269.19,-1983.08,238.706,5.84221,0
0.068,91.912,-21.7836,882.402,86.4238,-2.28696,860,1.18177,31.0295,-132.154,1.19352,0.0294714,0,1469.43,1201.18,-1984.39,238.705,5.8943,0
0.069,91.9132,-21.7525,882.27,86.4882,-2.23742,860,2.5766,32.1714,-134.136,1.19351,0.0297325,0,1394.83,1141.9,-1981.92,238.703,5.94651,0
0.07,91.9158,-21.7204,882.136,86.5542,-2.18741,860,3.90333,33.2623,-136.111,1.19351,0.0299943,0,1326.73,1090.84,-1975.81,238.702,5.99887,0
0.071,91.9197,-21.6871,882,86.6216,-2.13709,860,5.16887,34.3097,-138.077,1.1935,0.0302569,0,1265.53,1047.43,-1966.06,238.701,6.05139,0
0.072,91.9249,-21.6528,881.862,86.6901,-2.0866,860,6.38028,35.3207,-140.03,1.19349,0.0305204,0,1211.41,1010.97,-1952.93,238.699,6.10409,0
0.073,91.9312,-21.6175,881.722,86.7595,-2.03604,860,7.54469,36.3014,-141.967,1.19349,0.0307848,0,1164.41,980.743,-1936.6,238.698,6.15698,0
0.074,91.9388,-21.5812,881.58,86.8296,-1.98551,860,8.66909,37.2574,-143.884,1.19348,0.0310503,0,1124.4,956.028,-1917.42,238.697,6.21007,0
0.075,91.9474,-21.5439,881.436,86.9004,-1.93511,860,9.76012,38.1936,-145.78,1.19347,0.0313167,0,1091.03,936.176,-1895.89,238.695,6.26336,0
0.076,91.9572,-21.5057,881.29,86.9715,-1.88489,860,10.8238,39.1143,-147.652,1.19346,0.0315842,0,1063.69,920.689,-1872.25,238.694,6.31685,0
0.077,91.968,-21.4666,881.142,87.0429,-1.83489,860,11.8645,40.0237,-149.5,1.19346,0.0318526,0,1040.7,909.363,-1847.4,238.692,6.37054,0
0.078,91.9799,-21.4266,880.993,87.1145,-1.78515,860,12.8822,40.9266,-151.321,1.19345,0.0321221,0,1017.68,902.962,-1821.55,238.691,6.42443,0
0.079,91.9928,-21.3857,880.842,87.1859,-1.73578,860,13.8866,41.815,-153.12,1.19344,0.0323925,0,1004.44,888.355,-1798.58,238.69,6.47851,0
0.08,92.0067,-21.3439,880.688,87.2574,-1.68707,860,14.8977,42.6906,-154.889,1.19344,0.0326638,0,1011.01,875.656,-1769,238.688,6.53279,0
0.081,92.0216,-21.3012,880.534,87.329,-1.63885,860,15.9241,43.5701,-156.622,1.19343,0.0329362,0,1026.4,879.463,-1732.56,238.687,6.58725,0
0.082,92.0375,-21.2576,880.377,87.4007,-1.59108,860,16.9499,44.4449,-158.325,1.19342,0.0332093,0,1025.89,874.76,-1703.29,238.685,6.64187,0
0.083,92.0545,-21.2131,880.219,87.4722,-1.54381,860,17.9809,45.3163,-159.999,1.19341,0.0334833,0,1030.98,871.391,-1673.69,238.684,6.69669,0
0.084,92.0724,-21.1678,880.059,87.5437,-1.49705,860,19.0207,46.1853,-161.642,1.1934,0.0337585,0,1039.76,869.064,-1643.72,238.682,6.75171,0
0.085,92.0915,-21.1216,879.897,87.6152,-1.45078,860,20.0715,47.0531,-163.256,1.1934,0.0340346,0,1050.86,867.737,-1613.78,238.68,6.80694,0
0.086,92.1115,-21.0746,879.734,87.6867,-1.40498,860,21.1345,47.9206,-164.84,1.19339,0.0343118,0,1062.92,867.5,-1584.26,238.679,6.86238,0
0.087,92.1326,-21.0267,879.569,87.758,-1.35961,860,22.2075,48.7896,-166.396,1.19338,0.03459,0,1073.02,869.022,-1555.74,238.677,6.91802,0
0.088,92.1549,-20.9779,879.402,87.8293,-1.31462,860,23.278,49.6611,-167.927,1.19337,0.034869,0,1070.54,871.49,-1531.36,238.676,6.97383,0
0.089,92.1781,-20.9282,879.235,87.9005,-1.27015,860,24.3736,50.5343,-169.427,1.19336,0.035149,0,1095.55,873.26,-1499.53,238.674,7.02981,0
0.09,92.2025,-20.8777,879.065,87.9717,-1.22611,860,25.5234,51.3876,-170.895,1.19336,0.0354295,0,1149.85,853.229,-1468.08,238.672,7.08592,0
0.091,92.228,-20.8263,878.894,88.0435,-1.18281,860,26.6585,52.2439,-172.34,1.19335,0.0357107,0,1135.08,856.304,-1445.14,238.671,7.14216,0
0.092,92.2547,-20.7741,878.722,88.1153,-1.13999,860,27.829,53.1109,-173.748,1.19334,0.0359928,0,1170.46,866.989,-1407.5,238.669,7.19859,0
0.093,92.2825,-20.7209,878.548,88.1874,-1.09748,860,29.0115,53.9774,-175.126,1.19333,0.0362756,0,1182.55,866.524,-1378.54,238.667,7.25514,0
0.094,92.3115,-20.667,878.373,88.2597,-1.05531,860,30.2072,54.8441,-176.476,1.19332,0.0365591,0,1195.64,866.714,-1349.75,238.665,7.31183,0
0.095,92.3417,-20.6121,878.196,88.3324,-1.01344,860,31.4156,55.7116,-177.796,1.19331,0.0368432,0,1208.47,867.466,-1320.27,238.664,7.36867,0
0.096,92.3732,-20.5564,878.019,88.4055,-0.97182,860,32.6358,56.5803,-179.087,1.1933,0.0371281,0,1220.18,868.717,-1290.42,238.662,7.42564,0
0.097,92.4058,-20.4998,877.84,88.4789,-0.930409,860,33.8655,57.451,-180.347,1.1933,0.0374135,0,1229.68,870.689,-1260.44,238.66,7.48272,0
0.098,92.4397,-20.4424,877.659,88.5526,-0.889146,860,35.0987,58.3252,-181.578,1.19329,0.0376993,0,1233.23,874.26,-1230.9,238.658,7.53989,0
