"Timestamp","BallCollision_NumContacts","BallCollision_ForceAmplitude"
4.826,2,10.3816
4.827,2,0.495888
4.828,3,0
4.829,3,0
4.83,3,0.4037
4.831,2,10.7107
4.832,2,0
4.833,2,0
4.834,2,0.0301611
4.835,2,0.00336015
4.836,2,1.5095
4.837,2,0.00178418
4.838,2,0.000781835
4.839,2,0.000415558
4.84,2,0.00121707
4.841,3,9.69629
4.842,4,14.8737
4.843,4,20.3872
4.844,4,25.7848
4.845,5,30.1975
4.846,5,34.0631
4.847,5,37.2588
4.848,5,39.9709
4.849,5,42.2238
4.85,5,44.077
4.851,5,46.9913
4.852,5,42.7013
4.853,5,43.6299
4.854,5,45.0916
4.855,5,46.2632
4.856,5,47.2561
4.857,5,48.1036
4.858,5,48.8346
4.859,5,49.4579
4.86,5,49.9948
4.861,5,50.452
4.862,5,51.2341
4.863,5,39.9447
4.864,5,42.6777
4.865,5,45.1682
4.866,5,47.1998
4.867,5,48.8722
4.868,5,50.2648
4.869,5,51.4201
4.87,5,52.3874
4.871,5,53.1968
4.872,5,53.8762
4.873,5,54.4465
4.874,5,54.9257
4.875,5,55.3288
4.876,5,55.6688
4.877,5,55.9572
4.878,5,56.2043
4.879,5,56.2852
4.88,5,55.5235
4.881,5,55.9483
4.882,5,56.165
4.883,5,55.7245
4.884,5,56.1788
4.885,5,56.5051
4.886,5,56.3547
4.887,5,56.6552
4.888,5,56.3788
4.889,5,48.5826
4.89,5,48.2342
4.891,5,49.3062
4.892,5,50.236
4.893,5,50.9056
4.894,5,42.9914
4.895,5,35.929
4.896,5,39.0081
4.897,5,40.4829
4.898,5,34.826
4.899,5,38.5919
4.9,5,41.923
4.901,5,44.7064
4.902,5,47.0419
4.903,5,48.8244
4.904,5,43.714
4.905,5,43.2579
4.906,5,43.1737
4.907,5,45.7792
4.908,5,45.5193
4.909,5,45.4736
4.91,5,45.7341
4.911,5,47.6135
4.912,5,48.1966
4.913,5,48.9266
4.914,5,48.1241
4.915,5,49.4915
4.916,5,49.9179
4.917,5,50.7852
4.918,5,49.5439
4.919,5,45.9382
4.92,5,47.1082
4.921,5,48.8031
4.922,5,50.3245
4.923,5,51.8358
4.924,5,43.2173
4.925,5,47.3201
4.926,5,49.2154
4.927,5,51.3581
4.928,5,51.3264
4.929,5,53.1069
4.93,5,53.6344
4.931,5,54.0992
4.932,5,55.3282
4.933,5,49.3766
4.934,5,49.7117
4.935,5,51.1715
4.936,5,52.3943
4.937,5,53.4002
4.938,5,54.4128
4.939,5,55.4197
4.94,5,56.3622
4.941,5,57.2087
4.942,5,57.9539
4.943,5,58.6022
4.944,5,59.1612
4.945,5,59.6403
4.946,5,60.0488
4.947,5,60.396
4.948,5,60.6894
4.949,5,60.9416
4.95,5,61.1563
4.951,5,61.3391
4.952,5,61.4942
4.953,5,61.6261
4.954,5,61.738
4.955,5,61.8327
4.956,5,61.9129
4.957,5,61.9794
4.958,5,62.0312
4.959,5,62.0761
4.96,5,62.1195
4.961,5,62.1224
4.962,5,62.1671
4.963,5,62.0551
4.964,5,62.1255
4.965,5,61.6022
4.966,5,61.4927
4.967,5,60.3787
4.968,5,60.4932
4.969,5,60.7814
4.97,5,61.06
4.971,5,61.0294
4.972,5,61.2595
4.973,5,61.2577
4.974,5,61.4642
4.975,5,61.5329
4.976,5,61.6723
4.977,5,61.7578
4.978,5,62.029
4.979,5,48.1437
4.98,5,50.9991
4.981,5,53.6387
4.982,5,55.8097
4.983,5,57.6107
4.984,5,59.1245
4.985,5,60.4057
4.986,5,61.5723
4.987,5,60.7662
4.988,5,61.6913
4.989,5,62.4386
4.99,5,62.646
4.991,5,63.4485
4.992,5,63.1236
4.993,5,63.6629
4.994,5,64.0545
4.995,5,64.0715
4.996,5,64.072
4.997,5,63.5626
4.998,5,64.0616
4.999,5,54.1602
5,5,55.3628
5.001,5,57.0025
5.002,5,57.7305
5.003,5,58.6108
5.004,5,59.2002
5.005,5,60.1526
5.006,5,61.0284
5.007,5,61.8299
5.008,5,62.464
5.009,5,63.2423
5.01,5,63.7108
5.011,5,64.1906
5.012,5,64.5988
5.013,5,64.9475
5.014,5,65.2442
5.015,5,65.4954
5.016,5,65.7074
5.017,5,65.8858
5.018,5,66.0335
5.019,5,66.1625
5.02,5,66.2684
5.021,5,66.3583
5.022,5,66.4371
5.023,5,66.4992
5.024,5,66.5585
5.025,5,66.5957
5.026,5,66.6468
5.027,5,66.6232
5.028,5,66.6845
5.029,5,66.3863
5.03,5,66.3524
5.031,5,65.1454
5.032,5,64.8395
5.033,5,65.1848
5.034,5,65.3961
5.035,5,65.6564
5.036,5,65.5708
5.037,5,65.7705
5.038,5,65.8249
5.039,5,65.9935
5.04,5,66.0876
5.041,5,66.1937
5.042,5,66.2773
5.043,5,66.3515
5.044,5,66.4144
5.045,5,66.4681
5.046,5,66.5133
5.047,5,66.551
5.048,5,66.5797
5.049,5,66.6109
5.05,5,66.6355
5.051,5,66.6555
5.052,5,66.6702
5.053,5,66.6804
5.054,5,66.6863
5.055,5,66.6877
5.056,5,66.6847
5.057,5,66.6775
5.058,5,66.6648
5.059,5,66.6565
5.06,5,66.644
5.061,5,66.6293
5.062,5,66.6112
5.063,5,66.5903
5.064,5,66.5668
5.065,5,66.5412
5.066,5,66.5137
5.067,5,66.4845
5.068,5,66.4519
5.069,5,66.4247
5.07,5,66.3988
5.071,5,66.3738
5.072,5,66.349
5.073,5,66.3238
5.074,5,66.2977
5.075,5,66.2704
5.076,5,66.2414
5.077,5,66.2104
5.078,5,66.1749
5.079,5,66.1431
5.08,5,66.1115
5.081,5,66.0804
5.082,5,66.0488
5.083,5,66.0164
5.084,5,65.9831
5.085,5,65.9487
5.086,5,65.9131
5.087,5,65.8764
5.088,5,65.8366
5.089,5,65.802
5.09,5,65.7688
5.091,5,65.7367
5.092,5,65.7045
5.093,5,65.6718
5.094,5,65.6385
5.095,5,65.6043
