"Timestamp","Actual_LeftTorqueX","Actual_LeftTorqueY","Actual_LeftTorqueZ","Target_LeftTorqueX","Target_LeftTorqueY","Target_LeftTorqueZ","Actual_RightTorqueX","Actual_RightTorqueY","Actual_RightTorqueZ","Target_RightTorqueX","Target_RightTorqueY","Target_RightTorqueZ","Actual_LeftForceX","Actual_LeftForceY","Actual_LeftForceZ","Target_LeftForceX","Target_LeftForceY","Target_LeftForceZ","Actual_RightForceX","Actual_RightForceY","Actual_RightForceZ","Target_RightForceX","Target_RightForceY","Target_RightForceZ"
0.001,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0670204,-0.369717,0.0718657,0,0,0,155.071,-67.285,14.9042,0,0,0,8.03669,-9.89968,19.3331,0,0,0,-136.009,-749.163,1350.08,0,0,0
0.003,0.539492,-0.803926,0.156275,0,0,0,159.91,-136.48,28.3184,0,0,0,21.1752,-14.9411,58.8348,0,0,0,-219.247,34.8945,2572.57,0,0,0
0.004,0.705891,-2.24358,0.436168,0,0,0,154.058,-52.8016,12.2233,0,0,0,13.1337,-41.2948,69.6579,0,0,0,-59.5491,-2.75371,942.558,0,0,0
0.005,0.164337,-2.69614,0.524501,0,0,0,153.661,-47.1139,11.1501,0,0,0,-3.16163,-34.7445,39.7472,0,0,0,-99.9979,86.2699,874.023,0,0,0
0.006,0.0316546,-3.42371,0.666918,0,0,0,152.744,-44.9712,10.7412,0,0,0,-6.56172,-27.3789,41.1047,0,0,0,-109.385,114.476,851.723,0,0,0
0.007,-0.344898,-3.5917,0.700939,0,0,0,1.074,2.72,-0.510935,0,0,0,-15.1809,-21.4519,29.6319,0,0,0,-30.4568,27.5884,-8.83955,0,0,0
0.008,-1.12652,-3.50642,0.685868,0,0,0,1.31197,2.97501,-0.557797,0,0,0,-20.7212,-19.9143,17.196,0,0,0,-34.4204,33.7822,-22.7692,0,0,0
0.009,-1.47445,-3.2754,0.642545,0,0,0,1.33781,2.61954,-0.489706,0,0,0,-20.0896,-20.4664,19.9327,0,0,0,-31.0978,32.3255,-21.0952,0,0,0
0.01,-1.68764,-2.95544,0.581778,0,0,0,1.20142,2.30174,-0.43111,0,0,0,-19.0698,-21.1809,20.1151,0,0,0,-27.9665,29.6016,-20.4296,0,0,0
0.011,-1.86571,-2.59351,0.512543,0,0,0,1.04196,2.02875,-0.381466,0,0,0,-17.5945,-22.2025,20.226,0,0,0,-25.1904,26.8467,-20.0378,0,0,0
0.012,-2.0653,-2.21333,0.439319,0,0,0,0.896666,1.78639,-0.337476,0,0,0,-16.0333,-23.192,20.2115,0,0,0,-22.6305,24.3642,-19.6544,0,0,0
0.013,-2.31221,-1.82891,0.364729,0,0,0,0.771689,1.57301,-0.298716,0,0,0,-14.5273,-24.0017,20.063,0,0,0,-20.3162,22.2202,-19.3013,0,0,0
0.014,-2.61239,-1.45075,0.290749,0,0,0,0.66772,1.38716,-0.264892,0,0,0,-13.1523,-24.5513,19.824,0,0,0,-18.2635,20.4117,-18.9752,0,0,0
0.015,-2.95859,-1.08587,0.218708,0,0,0,0.583242,1.22723,-0.235721,0,0,0,-11.9507,-24.8115,19.5265,0,0,0,-16.4763,18.9092,-18.6694,0,0,0
0.016,-3.33534,-0.738492,0.149409,0,0,0,0.51583,1.09135,-0.210887,0,0,0,-10.9401,-24.7883,19.195,0,0,0,-14.9484,17.6727,-18.3781,0,0,0
0.017,-3.723,-0.41068,0.0832535,0,0,0,0.462773,0.977376,-0.190039,0,0,0,-10.1202,-24.5103,18.8486,0,0,0,-13.6651,16.6596,-18.0969,0,0,0
0.018,-4.1009,-0.10299,0.0203534,0,0,0,0.42138,0.883,-0.172793,0,0,0,-9.47853,-24.0191,18.5012,0,0,0,-12.6062,15.8283,-17.8227,0,0,0
0.019,-4.44956,0.185046,-0.039377,0,0,0,0.389151,0.805849,-0.158749,0,0,0,-8.9945,-23.3611,18.1623,0,0,0,-11.7474,15.1407,-17.5534,0,0,0
0.02,-4.75223,0.454508,-0.0961426,0,0,0,0.363868,0.743558,-0.147502,0,0,0,-8.64363,-22.5827,17.8381,0,0,0,-11.0628,14.5628,-17.2874,0,0,0
0.021,-4.99581,0.706762,-0.150206,0,0,0,0.343633,0.693859,-0.138658,0,0,0,-8.40008,-21.7261,17.5315,0,0,0,-10.526,14.0654,-17.0237,0,0,0
0.022,-5.17115,0.943237,-0.201842,0,0,0,0.326872,0.654633,-0.131844,0,0,0,-8.23873,-20.8277,17.2435,0,0,0,-10.1116,13.6247,-16.7616,0,0,0
0.023,-5.27315,1.16526,-0.251308,0,0,0,0.312328,0.623954,-0.126714,0,0,0,-8.13659,-19.9169,16.9732,0,0,0,-9.79605,13.221,-16.5003,0,0,0
0.024,-5.30041,1.37397,-0.298816,0,0,0,0.299027,0.600114,-0.122955,0,0,0,-8.07356,-19.0158,16.7184,0,0,0,-9.55812,12.8394,-16.2394,0,0,0
0.025,-5.25479,1.57025,-0.344532,0,0,0,0.286252,0.581624,-0.12029,0,0,0,-8.0329,-18.1399,16.4765,0,0,0,-9.37918,12.4686,-15.9781,0,0,0
0.026,-5.14082,1.75324,-0.388231,0,0,0,0.266009,0.469159,-0.0973944,0,0,0,-7.9866,-17.3004,16.2391,0,0,0,-8.39429,12.013,-15.7218,0,0,0
