"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
0.001,93.3686,-21.5834,0,0,0,0,0
0.002,92.8129,-24.8028,0,0,0,0,0
0.003,91.951,-24.6476,0,0,0,0,0
0.004,91.6815,-25.0787,0,0,0,0,0
0.005,91.2367,-25.1699,0,0,0,0,0
0.006,90.767,-25.2093,0,0,0,0,0
0.007,90.2566,-25.1973,0,0,0,0,0
0.008,89.8602,-25.0352,0,0,0,0,0
0.009,89.6591,-24.7522,0,0,0,0,0
0.01,89.5566,-24.7176,0,0,0,0,0
0.011,89.46,-24.6681,0,0,0,0,0
0.012,89.3653,-24.5777,0,0,0,0,0
0.013,89.2107,-24.3478,0,0,0,0,0
0.014,88.9982,-24.0003,0,0,0,0,0
0.015,88.7393,-23.5548,0,0,0,0,0
0.016,88.4986,-23.3272,0,0,0,0,0
0.017,88.2814,-23.2665,0,0,0,0,0
0.018,88.0549,-23.2455,0,0,0,0,0
0.019,87.823,-23.2504,0,0,0,0,0
0.02,87.5853,-23.2746,0,0,0,0,0
0.021,87.3403,-23.3116,0,0,0,0,0
0.022,87.0889,-23.3614,0,0,0,0,0
0.023,86.8309,-23.4229,0,0,0,0,0
0.024,86.5664,-23.4951,0,0,0,0,0
0.025,86.2955,-23.5772,0,0,0,0,0
0.026,86.0185,-23.6685,0,0,0,0,0
0.027,85.7354,-23.7685,0,0,0,0,0
0.028,85.4465,-23.8768,0,0,0,0,0
0.029,85.1522,-23.9928,0,0,0,0,0
0.03,84.8527,-24.1164,0,0,0,0,0
0.031,84.5484,-24.2471,0,0,0,0,0
0.032,84.2396,-24.3847,0,0,0,0,0
0.033,83.9269,-24.5289,0,0,0,0,0
0.034,83.6103,-24.6794,0,0,0,0,0
0.035,83.2905,-24.836,0,0,0,0,0
0.036,82.9677,-24.9983,0,0,0,0,0
0.037,82.6421,-25.1663,0,0,0,0,0
0.038,82.3141,-25.3395,0,0,0,0,0
0.039,81.9838,-25.5177,0,0,0,0,0
0.04,81.6516,-25.7008,0,0,0,0,0
0.041,81.3174,-25.8883,0,0,0,0,0
0.042,80.9814,-26.0802,0,0,0,0,0
0.043,80.6437,-26.276,0,0,0,0,0
0.044,80.3014,-26.4742,0,0,0,0,0
0.045,79.954,-26.6736,0,0,0,0,0
0.046,79.6019,-26.8741,0,0,0,0,0
0.047,79.2587,-27.0823,0,0,0,0,0
0.048,78.9029,-27.2888,0,0,0,0,0
0.049,80.6758,-24.352,0,0,0,0,0
0.05,81.252,-23.4944,0,0,0,0,0
0.051,81.8464,-22.7199,0,0,0,0,0
0.052,82.5119,-21.9494,0,0,0,0,0
0.053,83.2135,-21.1725,0,0,0,0,0
0.054,83.9449,-20.399,0,0,0,0,0
0.055,84.671,-19.6425,0,0,0,0,0
0.056,85.3831,-18.9057,0,0,0,0,0
0.057,86.0794,-18.1978,0,0,0,0,0
0.058,86.7578,-17.5223,0,0,0,0,0
0.059,87.4165,-16.8807,0,0,0,0,0
0.06,88.0575,-16.2711,0,0,0,0,0
0.061,88.6744,-15.6955,0,0,0,0,0
0.062,89.2657,-15.1529,0,0,0,0,0
0.063,89.8306,-14.6416,0,0,0,0,0
0.064,90.3691,-14.1596,0,0,0,0,0
0.065,90.8815,-13.7046,0,0,0,0,0
0.066,91.3686,-13.2741,0,0,0,0,0
0.067,91.8316,-12.8654,0,0,0,0,0
0.068,92.2719,-12.4758,0,0,0,0,0
0.069,92.6914,-12.1029,0,0,0,0,0
0.07,93.0917,-11.7443,0,0,0,0,0
0.071,93.475,-11.3976,0,0,0,0,0
0.072,93.8434,-11.0609,0,0,0,0,0
0.073,94.1988,-10.7323,0,0,0,0,0
0.074,94.5433,-10.4103,0,0,0,0,0
0.075,94.8789,-10.0933,0,0,0,0,0
0.076,95.2075,-9.78001,0,0,0,0,0
0.077,95.5302,-9.46933,0,0,0,0,0
0.078,95.847,-9.15984,0,0,0,0,0
0.079,96.1617,-8.85488,0,0,0,0,0
0.08,96.4805,-8.55213,0,0,0,0,0
0.081,96.8017,-8.24646,0,0,0,0,0
0.082,97.123,-7.94084,0,0,0,0,0
0.083,97.4444,-7.63426,0,0,0,0,0
0.084,97.769,-7.32828,0,0,0,0,0
0.085,98.0983,-7.02188,0,0,0,0,0
0.086,98.4352,-6.71689,0,0,0,0,0
0.087,98.7821,-6.41121,0,0,0,0,0
0.088,99.13,-6.10395,0,0,0,0,0
0.089,99.484,-5.7975,0,0,0,0,0
0.09,99.8413,-5.48853,0,0,0,0,0
0.091,100.208,-5.18022,0,0,0,0,0
0.092,100.587,-4.87112,0,0,0,0,0
0.093,100.965,-4.56298,0,0,0,0,0
0.094,101.348,-4.25257,0,0,0,0,0
0.095,101.743,-3.9398,0,0,0,0,0
0.096,102.142,-3.62642,0,0,0,0,0
0.097,102.544,-3.31222,0,0,0,0,0
0.098,102.951,-2.99711,0,0,0,0,0
0.099,103.36,-2.68105,0,0,0,0,0
0.1,103.773,-2.36406,0,0,0,0,0
0.101,104.189,-2.04615,0,0,0,0,0
0.102,104.608,-1.72737,0,0,0,0,0
0.103,105.029,-1.40779,0,0,0,0,0
0.104,105.453,-1.08747,0,0,0,0,0
0.105,105.878,-0.766488,0,0,0,0,0
0.106,106.304,-0.44485,0,0,0,0,0
0.107,106.731,-0.122385,0,0,0,0,0
0.108,107.152,0.20076,0,0,0,0,0
0.109,107.579,0.522254,0,0,0,0,0
0.11,108.016,0.843465,0,0,0,0,0
0.111,108.453,1.16382,0,0,0,0,0
0.112,108.89,1.48308,0,0,0,0,0
0.113,109.319,1.80254,0,0,0,0,0
0.114,109.758,2.12077,0,0,0,0,0
0.115,110.189,2.43862,0,0,0,0,0
0.116,110.634,2.74993,0,0,0,0,0
0.117,111.072,3.06345,0,0,0,0,0
0.118,111.515,3.37774,0,0,0,0,0
0.119,111.956,3.69083,0,0,0,0,0
0.12,112.394,3.99951,0,0,0,0,0
0.121,108.335,3.67337,0,0,0,0,0
0.122,105.955,3.97244,0,0,0,0,0
0.123,104.71,4.47558,0,0,0,0,0
0.124,103.617,4.92361,0,0,0,0,0
0.125,102.597,5.32209,0,0,0,0,0
0.126,101.631,5.68058,0,0,0,0,0
0.127,100.701,5.98855,0,0,0,0,0
0.128,99.7892,6.26228,0,0,0,0,0
0.129,98.8979,6.51155,0,0,0,0,0
0.13,98.0232,6.74214,0,0,0,0,0
0.131,97.1635,6.95594,0,0,0,0,0
0.132,96.3172,7.15344,0,0,0,0,0
0.133,95.4829,7.33512,0,0,0,0,0
0.134,94.6589,7.5036,0,0,0,0,0
0.135,93.845,7.66092,0,0,0,0,0
0.136,93.0356,7.80841,0,0,0,0,0
0.137,92.231,7.95203,0,0,0,0,0
0.138,91.4242,8.09032,0,0,0,0,0
0.139,90.6184,8.22762,0,0,0,0,0
0.14,89.813,8.36953,0,0,0,0,0
0.141,88.9982,8.51442,0,0,0,0,0
0.142,88.1763,8.6637,0,0,0,0,0
0.143,87.3434,8.81563,0,0,0,0,0
0.144,86.5214,8.9746,0,0,0,0,0
0.145,85.793,9.16129,0,0,0,0,0
0.146,85.1249,9.37851,0,0,0,0,0
0.147,84.5192,9.62519,0,0,0,0,0
0.148,83.972,9.89628,0,0,0,0,0
0.149,83.4795,10.1871,0,0,0,0,0
0.15,83.0378,10.4936,0,0,0,0,0
0.151,82.643,10.8125,0,0,0,0,0
0.152,82.2906,11.1414,0,0,0,0,0
0.153,81.9762,11.4781,0,0,0,0,0
0.154,81.6952,11.821,0,0,0,0,0
0.155,81.4429,12.1692,0,0,0,0,0
0.156,81.2146,12.5216,0,0,0,0,0
0.157,81.0059,12.8778,0,0,0,0,0
0.158,80.8144,13.2367,0,0,0,0,0
0.159,80.6316,13.5997,0,0,0,0,0
0.16,80.457,13.965,0,0,0,0,0
0.161,80.2867,14.3324,0,0,0,0,0
0.162,80.1181,14.7014,0,0,0,0,0
0.163,79.9479,15.0728,0,0,0,0,0
0.164,79.7741,15.4462,0,0,0,0,0
0.165,79.5948,15.8217,0,0,0,0,0
0.166,79.4083,16.1992,0,0,0,0,0
0.167,79.2135,16.5787,0,0,0,0,0
