"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00429085,-0.00933913,-0.0329609,-0.00933921,0.00429065,-0.0329199,0,0,-0.0040759,0.00314037,-0.00585692,0.00391641
0.002,-0.00429084,-0.00933917,-0.0329608,-0.00933923,0.00429067,-0.0329196,0,0,-0.00407585,0.00314031,-0.00585695,0.00391639
0.003,-0.00428424,-0.00934163,-0.0329909,-0.00938122,0.00428207,-0.0328872,0,0,-0.00410871,0.00223912,-0.00592816,0.00394412
0.004,-0.00426607,-0.00935795,-0.0329529,-0.00940041,0.00424573,-0.0328763,5.42623e-07,2.92569e-07,-0.0041058,0.00178687,-0.00586453,0.0039384
0.005,-0.00423174,-0.00938542,-0.0329285,-0.00940991,0.00422757,-0.032861,1.4133e-06,1.77281e-06,-0.00411361,0.0014221,-0.00589944,0.00394411
0.006,-0.00419287,-0.00941836,-0.0328996,-0.00940843,0.00420707,-0.0328491,2.43847e-06,6.08135e-06,-0.00411551,0.00122522,-0.00592275,0.00394487
0.007,-0.00415167,-0.00945286,-0.0328672,-0.00939717,0.00418346,-0.0328395,4.22047e-06,1.3676e-05,-0.00410801,0.00117325,-0.0059331,0.00393707
0.008,-0.00410972,-0.00948547,-0.0328357,-0.00937648,0.00415702,-0.03283,7.02685e-06,2.49683e-05,-0.00409343,0.00124408,-0.00593266,0.00392291
0.009,-0.00406815,-0.00951295,-0.0328058,-0.00935122,0.0041289,-0.0328205,1.08328e-05,4.02357e-05,-0.00407165,0.00138473,-0.0059212,0.00390196
0.01,-0.00402918,-0.00953202,-0.0327804,-0.00932442,0.00411016,-0.0328121,1.52948e-05,5.94082e-05,-0.00404364,0.00151566,-0.00591252,0.00387471
0.011,-0.00399725,-0.00954013,-0.0327692,-0.00930191,0.00409234,-0.032799,2.0001e-05,8.21226e-05,-0.00401831,0.00164469,-0.00590038,0.00385012
0.012,-0.00397193,-0.00953794,-0.0327618,-0.00928206,0.00407457,-0.032779,2.45682e-05,0.000107698,-0.00399202,0.00176701,-0.00588546,0.00382453
0.013,-0.00395225,-0.00952654,-0.0327508,-0.00926278,0.0040565,-0.0327516,2.84416e-05,0.000135379,-0.00396243,0.00187822,-0.00586888,0.00379557
0.014,-0.00393704,-0.00950705,-0.0327313,-0.00923951,0.00403885,-0.032721,3.1034e-05,0.000164407,-0.00392796,0.00197266,-0.005854,0.00376162
0.015,-0.0039253,-0.00948015,-0.0327027,-0.00920903,0.00402288,-0.0326898,3.17359e-05,0.000194058,-0.00388824,0.00204673,-0.005843,0.00372231
0.016,-0.0039164,-0.00944601,-0.032666,-0.00916937,0.00400906,-0.0326581,2.99491e-05,0.000223701,-0.00384318,0.00209829,-0.00583708,0.00367754
0.017,-0.00390985,-0.00940431,-0.0326288,-0.0091238,0.00399567,-0.0326219,2.50918e-05,0.000252763,-0.00379948,0.00213485,-0.00583366,0.00363405
0.018,-0.0039046,-0.00935546,-0.0325893,-0.00907464,0.00398211,-0.032577,1.66955e-05,0.000280781,-0.00375859,0.00216093,-0.00583172,0.00359332
0.019,-0.00389953,-0.00930026,-0.0325447,-0.00902175,0.00396859,-0.0325236,4.29575e-06,0.000307362,-0.0037206,0.0021774,-0.00583133,0.00355542
0.02,-0.00389397,-0.00923937,-0.0324924,-0.00896521,0.003955,-0.0324616,-1.24829e-05,0.000332228,-0.0036854,0.00218503,-0.00583238,0.00352028
0.021,-0.00388747,-0.00917337,-0.032431,-0.00890516,0.00394123,-0.0323915,-3.39133e-05,0.000355189,-0.00365298,0.00218448,-0.0058348,0.00348787
0.022,-0.00387978,-0.00910276,-0.0323601,-0.00884169,0.00392719,-0.0323129,-6.01859e-05,0.000376119,-0.00362352,0.00217631,-0.0058385,0.00345838
0.023,-0.0038707,-0.00902801,-0.0322796,-0.00877491,0.0039128,-0.0322261,-9.13774e-05,0.000394961,-0.00359701,0.00216101,-0.0058434,0.0034318
0.024,-0.00386014,-0.00894954,-0.0321896,-0.00870486,0.00389802,-0.0321312,-0.000127481,0.000411716,-0.0035734,0.00213904,-0.00584942,0.00340809
0.025,-0.00384807,-0.00886771,-0.0320901,-0.0086316,0.00388281,-0.0320287,-0.000168418,0.000426427,-0.00355255,0.00211081,-0.00585647,0.00338711
0.026,-0.00383452,-0.00878283,-0.0319816,-0.00855516,0.00386716,-0.0319183,-0.000214056,0.000439183,-0.0035343,0.0020767,-0.00586446,0.0033687
0.027,-0.00381954,-0.00869518,-0.0318646,-0.00847556,0.00385106,-0.0318007,-0.000264214,0.0004501,-0.00351841,0.00203705,-0.00587331,0.00335262
0.028,-0.00380325,-0.00860496,-0.0317395,-0.00839283,0.00383452,-0.0316761,-0.000318681,0.000459323,-0.00350462,0.00199218,-0.00588292,0.00333861
0.029,-0.00378574,-0.00851233,-0.0316069,-0.00830701,0.00381753,-0.0315452,-0.00037722,0.000467014,-0.00349263,0.00194238,-0.00589319,0.00332637
0.03,-0.00376716,-0.00841741,-0.0314673,-0.0082181,0.0038001,-0.0314078,-0.00043958,0.000473347,-0.00348212,0.00188792,-0.00590404,0.0033156
0.031,-0.00374763,-0.00832027,-0.0313214,-0.00812616,0.00378224,-0.0312648,-0.000505501,0.000478504,-0.00347279,0.00182904,-0.00591536,0.00330597
0.032,-0.0037273,-0.00822096,-0.0311697,-0.0080312,0.00376396,-0.0311165,-0.000574719,0.000482671,-0.0034643,0.00176597,-0.00592709,0.00329717
0.033,-0.00370628,-0.0081195,-0.0310127,-0.00793327,0.00374527,-0.0309629,-0.000646972,0.000486032,-0.00345636,0.00169892,-0.00593912,0.00328888
