"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.001,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121975,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.498,-21.111,892.433
0.002,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121918,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.498,-21.111,892.433
0.003,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,-0.00981,172.01,-2.98587,0.030508,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.496,-21.1215,892.442
0.004,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.00649278,-0.0101578,-0.00160465,172.01,-2.98597,0.0923576,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4911,-21.1312,892.477
0.005,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0308391,-0.032242,0.0405586,172.007,-2.98485,0.146629,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4851,-21.1421,892.515
0.006,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0554305,-0.0638317,0.0847184,172.006,-2.98424,0.202099,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4776,-21.1533,892.556
0.007,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0802213,-0.102197,0.134006,172.006,-2.98462,0.259701,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4685,-21.1647,892.6
0.008,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.104345,-0.144602,0.188601,172.009,-2.98575,0.319874,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4579,-21.1761,892.646
0.009,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.126728,-0.188323,0.248319,172.013,-2.98777,0.378258,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.446,-21.1871,892.692
0.01,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.143492,-0.230967,0.306617,172.02,-2.99313,0.427404,-13.8699,-0.680533,0,185.888,-2.3087,0.000486374,0.000121615,1.28272e-05,0.86,94.4335,-21.1975,892.728
