"Timestamp","Actual_LeftTorqueX","Actual_LeftTorqueY","Actual_LeftTorqueZ","Target_LeftTorqueX","Target_LeftTorqueY","Target_LeftTorqueZ","Actual_RightTorqueX","Actual_RightTorqueY","Actual_RightTorqueZ","Target_RightTorqueX","Target_RightTorqueY","Target_RightTorqueZ","Actual_LeftForceX","Actual_LeftForceY","Actual_LeftForceZ","Target_LeftForceX","Target_LeftForceY","Target_LeftForceZ","Actual_RightForceX","Actual_RightForceY","Actual_RightForceZ","Target_RightForceX","Target_RightForceY","Target_RightForceZ"
0.001,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0670204,-0.369717,0.0718657,0,0,0,155.071,-67.285,14.9042,0,0,0,8.03669,-9.89968,19.3331,0,0,0,-136.009,-749.163,1350.08,0,0,0
0.003,0.539492,-0.803926,0.156275,0,0,0,159.91,-136.48,28.3184,0,0,0,21.1752,-14.9411,58.8348,0,0,0,-219.247,34.8945,2572.57,0,0,0
0.004,0.15864,-2.17429,0.422682,0,0,0,154.233,-55.2933,12.7048,0,0,0,15.3339,-19.3213,52.6022,0,0,0,-69.2035,-111.035,1025.82,0,0,0
0.005,-0.39116,-2.36415,0.45966,0,0,0,153.79,-48.9598,11.5062,0,0,0,0.62452,-14.9512,24.807,0,0,0,-111.588,-35.5499,954.727,0,0,0
0.006,-0.492141,-2.91024,0.566035,0,0,0,153.784,-48.8829,11.5065,0,0,0,-0.31217,-10.1155,27.819,0,0,0,-115.984,-24.4486,948.228,0,0,0
0.007,-0.386116,-3.39509,0.660689,0,0,0,153.67,-47.2553,11.1977,0,0,0,-2.11443,-5.42317,27.8158,0,0,0,-125.105,-12.4437,941.324,0,0,0
0.008,-0.20282,-3.56054,0.693364,0,0,0,101.631,-29.1197,6.99394,0,0,0,-6.97507,-0.767918,22.3163,0,0,0,-98.2305,24.9807,605.176,0,0,0
0.009,-0.018014,-3.30093,0.643345,0,0,0,17.0658,-1.00486,0.424187,0,0,0,-13.1127,2.78079,10.8185,0,0,0,-52.6053,59.0494,74.2766,0,0,0
0.01,0.204545,-3.0007,0.585412,0,0,0,0.114789,2.67807,-0.515333,0,0,0,-15.1614,3.52134,3.82693,0,0,0,-29.0438,10.3984,-5.94412,0,0,0
0.011,0.53747,-2.53657,0.495464,0,0,0,0.588106,2.48492,-0.471752,0,0,0,-13.7129,2.30467,4.83945,0,0,0,-27.0376,14.4062,-6.37705,0,0,0
0.012,0.982086,-2.06302,0.40356,0,0,0,3.71549,1.30393,-0.201652,0,0,0,-11.5087,0.547592,5.54413,0,0,0,-25.5791,22.611,7.13407,0,0,0
0.013,1.5026,-1.62444,0.318332,0,0,0,13.7467,-1.19697,0.416999,0,0,0,-9.08714,-0.799428,6.68224,0,0,0,-37.5165,50.7372,51.1183,0,0,0
0.014,2.13431,-1.2778,0.250945,0,0,0,22.1262,-3.18816,0.915715,0,0,0,-7.14535,-1.08218,7.99374,0,0,0,-49.1041,74.433,88.3767,0,0,0
0.015,2.82028,-0.98854,0.194648,0,0,0,29.0068,-4.8237,1.32638,0,0,0,-6.21456,-0.321245,8.79987,0,0,0,-58.6633,94.4492,118.753,0,0,0
0.016,3.51284,-0.743306,0.146839,0,0,0,37.3126,-9.06277,2.26215,0,0,0,-5.59223,0.468188,9.98083,0,0,0,-55.7714,47.6865,196.487,0,0,0
0.017,4.0706,-0.495584,0.0983492,0,0,0,47.8481,-13.8553,3.33838,0,0,0,-4.69358,0.442103,12.15,0,0,0,-52.1984,10.9339,282.357,0,0,0
0.018,4.55995,-0.255772,0.0512226,0,0,0,55.5104,-16.6884,3.99838,0,0,0,-3.7501,-0.0341207,13.7244,0,0,0,-54.7478,1.32602,334.903,0,0,0
0.019,4.93146,-0.0782724,0.01621,0,0,0,60.3535,-18.508,4.42543,0,0,0,-3.15639,-0.538233,14.6401,0,0,0,-56.1191,-5.17267,368.256,0,0,0
0.02,5.19047,0.0497943,-0.00917162,0,0,0,63.7972,-19.7895,4.73065,0,0,0,-2.7723,-0.994461,15.1885,0,0,0,-57.5087,-10.0666,392.06,0,0,0
0.021,5.36717,0.141131,-0.0273822,0,0,0,66.2951,-20.6891,4.95018,0,0,0,-2.5227,-1.35258,15.5405,0,0,0,-59.0592,-13.4221,409.168,0,0,0
0.022,5.4365,0.198129,-0.038853,0,0,0,68.4165,-21.4524,5.13947,0,0,0,-2.40288,-1.61158,15.846,0,0,0,-60.4967,-16.6195,423.896,0,0,0
0.023,5.42578,0.225527,-0.0444775,0,0,0,70.2096,-22.0863,5.3004,0,0,0,-2.35576,-1.79211,16.0839,0,0,0,-61.9515,-19.4493,436.412,0,0,0
0.024,5.3478,0.227719,-0.0450882,0,0,0,71.7248,-22.6127,5.43779,0,0,0,-2.36802,-1.91469,16.2799,0,0,0,-63.3897,-21.9796,447.062,0,0,0
0.025,5.21481,0.208758,-0.0414558,0,0,0,73.0165,-23.0535,5.5566,0,0,0,-2.42331,-1.99729,16.4426,0,0,0,-64.7942,-24.2766,456.216,0,0,0
0.026,5.03822,0.172427,-0.0343027,0,0,0,74.1295,-23.4272,5.66092,0,0,0,-2.50714,-2.05595,16.5804,0,0,0,-66.152,-26.3947,464.179,0,0,0
0.027,4.82827,0.122228,-0.0243026,0,0,0,75.0978,-23.7476,5.7539,0,0,0,-2.60758,-2.10368,16.6994,0,0,0,-67.4503,-28.3749,471.181,0,0,0
