"Timestamp","Actual_CoMX","Actual_CoMY","Actual_CoMZ","Trajectory_CoMX","Trajectory_CoMY","Trajectory_CoMZ","Actual_CoMVelX","Actual_CoMVelY","Actual_CoMVelZ","Trajectory_CoMVelX","Trajectory_CoMVelY","Trajectory_CoMVelZ","Actual_CoMAccX","Actual_CoMAccY","Actual_CoMAccZ","Trajectory_CoMAccX","Trajectory_CoMAccY","Trajectory_CoMAccZ"
0.001,93.3686,-21.5834,887.093,86.1228,-1.48236,860,0,0,0,-87.1096,1.86415,0,0,0,0,-330.864,3.83152,0
0.002,93.3686,-21.5834,887.093,86.1228,-1.48236,860,-1.84821,-10.7059,9.49596,-87.1096,1.86414,0,0,0,0,-330.864,3.8315,0
0.003,93.3668,-21.5941,887.102,86.1185,-1.48068,860,-4.70812,-10.1542,34.8833,-87.1095,1.867,0,-2859.91,551.684,25387.4,-330.864,3.84237,0
0.004,93.3621,-21.6042,887.137,86.1218,-1.48581,860,-5.58932,-11.5535,37.7406,-87.1095,1.86716,0,-881.196,-1399.3,2857.3,-330.864,3.84295,0
0.005,93.3565,-21.6158,887.175,86.1326,-1.49629,860,-7.04953,-11.8182,40.8493,-87.1095,1.86833,0,-1460.21,-264.698,3108.71,-330.864,3.8474,0
0.006,93.3494,-21.6276,887.216,86.1441,-1.51178,860,-8.58768,-11.9097,43.8531,-87.1095,1.86917,0,-1538.15,-91.5089,3003.81,-330.864,3.85061,0
0.007,93.3409,-21.6395,887.259,86.1569,-1.53116,860,-10.2567,-11.8297,46.7564,-87.1095,1.86932,0,-1668.99,80.0152,2903.26,-330.864,3.85117,0
0.008,93.3306,-21.6513,887.306,86.1702,-1.55293,860,-11.5407,-11.251,44.9213,-87.1095,1.86887,0,-1283.99,578.775,-1835.16,-330.864,3.84946,0
0.009,93.3191,-21.6626,887.351,86.1837,-1.57581,860,-12.1688,-10.2737,35.846,-87.1095,1.86773,0,-628.174,977.224,-9075.24,-330.864,3.84511,0
0.01,93.3069,-21.6729,887.387,86.1955,-1.59982,860,-12.4688,-10.1242,26.0213,-87.1096,1.86586,0,-299.972,149.522,-9824.69,-330.864,3.83804,0
0.011,93.2944,-21.683,887.413,86.2058,-1.62866,860,-12.7483,-9.92579,16.1828,-87.1096,1.86394,0,-279.464,198.42,-9838.53,-330.864,3.83074,0
0.012,93.2817,-21.6929,887.429,86.2142,-1.66087,860,-13.0202,-9.59298,6.52149,-87.1096,1.8616,0,-271.978,332.809,-9661.3,-330.864,3.82185,0
0.013,93.2687,-21.7025,887.436,86.2207,-1.69489,860,-13.4909,-8.79728,-2.53133,-87.1097,1.85859,0,-470.693,795.697,-9052.81,-330.865,3.81043,0
0.014,93.2552,-21.7113,887.433,86.2246,-1.72776,860,-14.153,-7.61309,-11.092,-87.1098,1.85473,0,-662.075,1184.19,-8560.64,-330.865,3.79574,0
0.015,93.241,-21.7189,887.422,86.2257,-1.75728,860,-14.9678,-6.10687,-19.2493,-87.1099,1.84988,0,-814.746,1506.22,-8157.28,-330.865,3.77732,0
0.016,93.226,-21.725,887.403,86.2237,-1.78173,860,-15.7197,-5.32736,-26.3293,-87.11,1.84392,0,-751.968,779.51,-7080.01,-330.865,3.75469,0
0.017,93.2103,-21.7304,887.377,86.2197,-1.80426,860,-16.3904,-5.1074,-32.2596,-87.1102,1.83732,0,-670.682,219.963,-5930.32,-330.865,3.72961,0
0.018,93.1939,-21.7355,887.344,86.2145,-1.82662,860,-17.0898,-5.02049,-37.5015,-87.1103,1.83012,0,-699.444,86.9045,-5241.9,-330.866,3.70229,0
0.019,93.1768,-21.7405,887.307,86.2084,-1.84896,860,-17.8047,-5.0202,-42.3021,-87.1105,1.82232,0,-714.863,0.287533,-4800.62,-330.866,3.67265,0
0.02,93.159,-21.7455,887.264,86.2018,-1.87145,860,-18.537,-5.0838,-46.7829,-87.1107,1.81387,0,-732.248,-63.6005,-4480.83,-330.866,3.64057,0
0.021,93.1405,-21.7506,887.218,86.1946,-1.89425,860,-19.291,-5.18988,-51.0307,-87.1109,1.80477,0,-754.021,-106.08,-4247.73,-330.867,3.60601,0
0.022,93.1212,-21.7558,887.167,86.1871,-1.91746,860,-20.064,-5.33832,-55.0781,-87.1111,1.79503,0,-773.06,-148.433,-4047.46,-330.867,3.56901,0
0.023,93.1012,-21.7611,887.112,86.1791,-1.94115,860,-20.8563,-5.5251,-58.9546,-87.1113,1.78465,0,-792.307,-186.781,-3876.46,-330.868,3.52959,0
0.024,93.0803,-21.7666,887.052,86.1707,-1.96537,860,-21.6677,-5.74683,-62.6851,-87.1115,1.77365,0,-811.348,-221.729,-3730.53,-330.868,3.48779,0
0.025,93.0586,-21.7724,886.99,86.1619,-1.99018,860,-22.4977,-6.00072,-66.2899,-87.1117,1.76203,0,-829.964,-253.889,-3604.77,-330.869,3.44367,0
0.026,93.0361,-21.7784,886.924,86.1528,-2.01559,860,-23.3456,-6.2845,-69.785,-87.112,1.74981,0,-847.982,-283.786,-3495.12,-330.869,3.39725,0
0.027,93.0128,-21.7847,886.854,86.1432,-2.04163,860,-24.2109,-6.59629,-73.1835,-87.1122,1.73701,0,-865.28,-311.792,-3398.53,-330.87,3.34861,0
