"Timestamp","Pelvis_Yaw_Delta","Pelvis_Yaw_Error","Pelvis_Pitch_Delta","Pelvis_Pitch_Error","Chest_Roll_Delta","Chest_Roll_Error","Chest_Pitch_Delta","Chest_Pitch_Error","LeftFoot_Roll_Delta","LeftFoot_Roll_Error","LeftFoot_Pitch_Delta","LeftFoot_Pitch_Error","RightFoot_Roll_Delta","RightFoot_Roll_Error","Pelvis_Roll_Delta","Pelvis_Roll_Error","RightFoot_Pitch_Delta","RightFoot_Pitch_Error","Chest_Yaw_Delta","Chest_Yaw_Error","LeftFoot_Yaw_Delta","LeftFoot_Yaw_Error","RightFoot_Yaw_Delta","RightFoot_Yaw_Error"
0.001,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.002,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.003,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.004,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.005,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.006,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.007,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.008,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.009,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.01,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.011,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.012,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
0.013,-0.00411728,-0.0329382,0.000537084,0.00429667,-0.000537109,-0.00429687,-0.00116952,-0.00935612,0,0,0,0,0.000318445,0.00318445,-0.00116953,-0.0093562,-0.000392428,-0.00588642,-0.00412241,-0.0329792,-0.000201978,-0.00403956,0.000202915,0.0040583
