"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
0.001,93.3686,-21.5834,0,0,0,0,0
0.002,92.8129,-24.8028,0,0,0,0,0
0.003,91.951,-24.6476,0,0,0,0,0
0.004,91.6813,-25.0786,0,0,0,0,0
0.005,91.2365,-25.1698,0,0,0,0,0
0.006,90.7668,-25.2093,0,0,0,0,0
0.007,90.2563,-25.1972,0,0,0,0,0
0.008,89.8598,-25.035,0,0,0,0,0
0.009,89.6592,-24.7525,0,0,0,0,0
0.01,89.5568,-24.7178,0,0,0,0,0
0.011,89.4602,-24.6683,0,0,0,0,0
0.012,89.3656,-24.5782,0,0,0,0,0
0.013,89.211,-24.3485,0,0,0,0,0
0.014,88.9984,-24.0011,0,0,0,0,0
0.015,88.7392,-23.5557,0,0,0,0,0
0.016,88.4981,-23.3273,0,0,0,0,0
0.017,88.2808,-23.2665,0,0,0,0,0
0.018,88.0541,-23.2454,0,0,0,0,0
0.019,87.8221,-23.2503,0,0,0,0,0
0.02,87.5842,-23.2744,0,0,0,0,0
0.021,87.3391,-23.3114,0,0,0,0,0
0.022,87.0875,-23.3611,0,0,0,0,0
0.023,86.8293,-23.4226,0,0,0,0,0
0.024,86.5647,-23.4947,0,0,0,0,0
0.025,86.2937,-23.5768,0,0,0,0,0
0.026,86.0165,-23.668,0,0,0,0,0
0.027,85.7333,-23.768,0,0,0,0,0
0.028,85.4443,-23.8762,0,0,0,0,0
0.029,85.1498,-23.9922,0,0,0,0,0
0.03,84.8502,-24.1157,0,0,0,0,0
0.031,84.5458,-24.2464,0,0,0,0,0
0.032,84.2369,-24.384,0,0,0,0,0
0.033,83.924,-24.5281,0,0,0,0,0
0.034,83.6075,-24.6786,0,0,0,0,0
0.035,83.2875,-24.8352,0,0,0,0,0
0.036,82.9646,-24.9975,0,0,0,0,0
0.037,82.639,-25.1654,0,0,0,0,0
0.038,82.3109,-25.3386,0,0,0,0,0
0.039,81.9806,-25.5168,0,0,0,0,0
0.04,81.6483,-25.6999,0,0,0,0,0
0.041,81.3141,-25.8874,0,0,0,0,0
0.042,80.9781,-26.0792,0,0,0,0,0
0.043,80.6403,-26.2751,0,0,0,0,0
0.044,80.2986,-26.4735,0,0,0,0,0
0.045,79.9516,-26.6733,0,0,0,0,0
0.046,79.6,-26.8741,0,0,0,0,0
0.047,79.2578,-27.083,0,0,0,0,0
0.048,78.9029,-27.2902,0,0,0,0,0
0.049,80.6814,-24.3504,0,0,0,0,0
0.05,81.2608,-23.4922,0,0,0,0,0
0.051,81.8574,-22.7153,0,0,0,0,0
0.052,82.5242,-21.9422,0,0,0,0,0
0.053,83.2265,-21.1627,0,0,0,0,0
0.054,83.9575,-20.3869,0,0,0,0,0
0.055,84.6825,-19.6283,0,0,0,0,0
0.056,85.3929,-18.8897,0,0,0,0,0
0.057,86.0869,-18.1804,0,0,0,0,0
0.058,86.7628,-17.5039,0,0,0,0,0
0.059,87.4187,-16.8616,0,0,0,0,0
0.06,88.056,-16.2522,0,0,0,0,0
0.061,88.6693,-15.677,0,0,0,0,0
0.062,89.2574,-15.1349,0,0,0,0,0
0.063,89.8194,-14.6243,0,0,0,0,0
0.064,90.3553,-14.1431,0,0,0,0,0
0.065,90.8655,-13.6889,0,0,0,0,0
0.066,91.3508,-13.2592,0,0,0,0,0
0.067,91.8124,-12.8513,0,0,0,0,0
0.068,92.2516,-12.4626,0,0,0,0,0
0.069,92.6702,-12.0905,0,0,0,0,0
0.07,93.0701,-11.7326,0,0,0,0,0
0.071,93.4532,-11.3867,0,0,0,0,0
0.072,93.8215,-11.0506,0,0,0,0,0
0.073,94.1771,-10.7225,0,0,0,0,0
0.074,94.5219,-10.4009,0,0,0,0,0
0.075,94.8579,-10.0842,0,0,0,0,0
0.076,95.1867,-9.77101,0,0,0,0,0
0.077,95.5087,-9.46005,0,0,0,0,0
0.078,95.8251,-9.15429,0,0,0,0,0
0.079,96.1445,-8.85045,0,0,0,0,0
0.08,96.4656,-8.54402,0,0,0,0,0
0.081,96.7863,-8.23819,0,0,0,0,0
0.082,97.1072,-7.93216,0,0,0,0,0
0.083,97.4264,-7.62458,0,0,0,0,0
0.084,97.7571,-7.31976,0,0,0,0,0
0.085,98.0909,-7.01508,0,0,0,0,0
0.086,98.4261,-6.71167,0,0,0,0,0
0.087,98.7728,-6.4053,0,0,0,0,0
0.088,99.1241,-6.09859,0,0,0,0,0
0.089,99.4808,-5.79132,0,0,0,0,0
0.09,99.8433,-5.4833,0,0,0,0,0
0.091,100.212,-5.17441,0,0,0,0,0
0.092,100.585,-4.8645,0,0,0,0,0
0.093,100.965,-4.55336,0,0,0,0,0
0.094,101.348,-4.24069,0,0,0,0,0
0.095,101.735,-3.92561,0,0,0,0,0
0.096,102.126,-3.60976,0,0,0,0,0
0.097,102.527,-3.29518,0,0,0,0,0
0.098,102.925,-2.97844,0,0,0,0,0
0.099,103.331,-2.66311,0,0,0,0,0
0.1,103.74,-2.34562,0,0,0,0,0
0.101,104.159,-2.02647,0,0,0,0,0
0.102,104.581,-1.70705,0,0,0,0,0
0.103,105.003,-1.38726,0,0,0,0,0
0.104,105.428,-1.06711,0,0,0,0,0
0.105,105.855,-0.746695,0,0,0,0,0
0.106,106.283,-0.426121,0,0,0,0,0
0.107,106.713,-0.105506,0,0,0,0,0
0.108,107.144,0.215035,0,0,0,0,0
0.109,107.577,0.535367,0,0,0,0,0
0.11,108.01,0.855356,0,0,0,0,0
0.111,108.445,1.17487,0,0,0,0,0
0.112,108.881,1.49381,0,0,0,0,0
0.113,109.317,1.81205,0,0,0,0,0
0.114,109.754,2.12954,0,0,0,0,0
0.115,110.191,2.44625,0,0,0,0,0
0.116,110.628,2.76231,0,0,0,0,0
0.117,111.064,3.07892,0,0,0,0,0
0.118,111.503,3.39268,0,0,0,0,0
0.119,111.945,3.70388,0,0,0,0,0
0.12,112.387,4.01354,0,0,0,0,0
0.121,112.83,4.32167,0,0,0,0,0
0.122,108.897,3.96035,0,0,0,0,0
0.123,106.42,4.22376,0,0,0,0,0
0.124,105.175,4.73189,0,0,0,0,0
0.125,104.079,5.18787,0,0,0,0,0
0.126,103.056,5.59633,0,0,0,0,0
0.127,102.085,5.96391,0,0,0,0,0
0.128,101.151,6.28184,0,0,0,0,0
0.129,100.235,6.56529,0,0,0,0,0
0.13,99.3408,6.82299,0,0,0,0,0
0.131,98.4639,7.06083,0,0,0,0,0
0.132,97.6023,7.28052,0,0,0,0,0
0.133,96.7545,7.48285,0,0,0,0,0
0.134,95.9191,7.66821,0,0,0,0,0
0.135,95.0943,7.84154,0,0,0,0,0
0.136,94.2774,8.00246,0,0,0,0,0
0.137,93.4664,8.15351,0,0,0,0,0
0.138,92.659,8.29842,0,0,0,0,0
0.139,91.8572,8.44025,0,0,0,0,0
0.14,91.0521,8.58344,0,0,0,0,0
0.141,90.2395,8.72803,0,0,0,0,0
0.142,89.4231,8.8761,0,0,0,0,0
0.143,88.5996,9.0287,0,0,0,0,0
0.144,87.7645,9.18329,0,0,0,0,0
0.145,86.9538,9.3496,0,0,0,0,0
0.146,86.2357,9.54282,0,0,0,0,0
0.147,85.5744,9.76749,0,0,0,0,0
0.148,84.9758,10.0205,0,0,0,0,0
0.149,84.4356,10.2971,0,0,0,0,0
0.15,83.9502,10.5928,0,0,0,0,0
0.151,83.5154,10.9038,0,0,0,0,0
0.152,83.1272,11.227,0,0,0,0,0
0.153,82.7812,11.5597,0,0,0,0,0
0.154,82.4729,11.9002,0,0,0,0,0
0.155,82.1975,12.2469,0,0,0,0,0
0.156,81.9504,12.5987,0,0,0,0,0
0.157,81.727,12.9547,0,0,0,0,0
0.158,81.5227,13.3142,0,0,0,0,0
0.159,81.3331,13.6766,0,0,0,0,0
0.16,81.1544,14.0415,0,0,0,0,0
0.161,80.9845,14.4078,0,0,0,0,0
0.162,80.8158,14.7773,0,0,0,0,0
0.163,80.6501,15.1472,0,0,0,0,0
0.164,80.4822,15.5204,0,0,0,0,0
0.165,80.308,15.8967,0,0,0,0,0
0.166,80.1304,16.274,0,0,0,0,0
0.167,79.9459,16.6544,0,0,0,0,0
