"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00429687,-0.00935612,-0.0329628,-0.0093562,0.00429667,-0.0329218,0,0,-0.00402319,0.00318445,-0.00588642,0.00407467
0.002,-0.00429686,-0.00935616,-0.0329627,-0.00935623,0.00429669,-0.0329216,0,0,-0.00402315,0.00318439,-0.00588645,0.00407465
0.003,-0.00429026,-0.00935863,-0.0329928,-0.00939821,0.00428809,-0.0328891,0,0,-0.00405601,0.0022832,-0.00595766,0.00410238
0.004,-0.00427209,-0.00937495,-0.0329548,-0.0094174,0.00425175,-0.0328782,5.42623e-07,2.92569e-07,-0.0040531,0.00183095,-0.00589403,0.00409666
0.005,-0.00423776,-0.00940242,-0.0329304,-0.0094269,0.0042336,-0.0328629,1.41303e-06,1.77267e-06,-0.00406092,0.00146618,-0.0059289,0.00410238
0.006,-0.00419889,-0.00943536,-0.0329015,-0.00942542,0.0042131,-0.032851,2.43767e-06,6.08089e-06,-0.00406281,0.00126934,-0.00595209,0.00410314
0.007,-0.00415769,-0.00946986,-0.0328691,-0.00941416,0.00418949,-0.0328414,4.21868e-06,1.36747e-05,-0.00405528,0.00121743,-0.00596228,0.00409531
0.008,-0.00411574,-0.00950246,-0.0328376,-0.00939345,0.00416305,-0.0328319,7.02331e-06,2.49653e-05,-0.00404069,0.00128834,-0.00596162,0.00408114
0.009,-0.00407418,-0.00952994,-0.0328076,-0.00936819,0.00413493,-0.0328221,1.08273e-05,4.02302e-05,-0.00401889,0.0014291,-0.00594988,0.00406017
0.01,-0.00403521,-0.009549,-0.0327823,-0.00934139,0.00411619,-0.0328138,1.52874e-05,5.93993e-05,-0.00399089,0.00156017,-0.00594086,0.00403292
0.011,-0.00400328,-0.00955711,-0.032771,-0.00931888,0.00409836,-0.0328009,1.99926e-05,8.21092e-05,-0.00396554,0.00168934,-0.00592832,0.00400833
0.012,-0.00397796,-0.00955492,-0.0327636,-0.00929902,0.00408058,-0.0327806,2.45596e-05,0.000107679,-0.00393924,0.00181183,-0.00591296,0.00398272
0.013,-0.00395827,-0.00954351,-0.0327525,-0.00927975,0.00406251,-0.032753,2.84342e-05,0.000135354,-0.00390965,0.00192323,-0.00589588,0.00395375
0.014,-0.00394307,-0.00952402,-0.0327328,-0.00925648,0.00404485,-0.0327225,3.10297e-05,0.000164375,-0.00387517,0.00201789,-0.00588045,0.0039198
0.015,-0.00393131,-0.00949712,-0.0327042,-0.00922601,0.00402887,-0.0326912,3.17371e-05,0.000194018,-0.00383544,0.00209219,-0.00586886,0.00388048
0.016,-0.0039224,-0.00946297,-0.0326673,-0.00918635,0.00401505,-0.0326593,2.99588e-05,0.000223653,-0.00379036,0.002144,-0.00586231,0.00383569
0.017,-0.00391585,-0.00942127,-0.03263,-0.00914077,0.00400166,-0.0326231,2.51131e-05,0.000252707,-0.00374663,0.00218081,-0.00585823,0.00379217
0.018,-0.00391059,-0.00937242,-0.0325904,-0.00909159,0.0039881,-0.032578,1.6732e-05,0.000280716,-0.00370572,0.00220715,-0.00585558,0.00375141
0.019,-0.00390551,-0.00931721,-0.0325457,-0.00903869,0.00397459,-0.0325243,4.35105e-06,0.000307288,-0.00366771,0.00222389,-0.00585444,0.0037135
0.02,-0.00389996,-0.00925632,-0.0324932,-0.00898214,0.00396101,-0.0324624,-1.2405e-05,0.000332145,-0.00363249,0.00223181,-0.00585469,0.00367833
0.021,-0.00389346,-0.00919031,-0.0324316,-0.00892207,0.00394725,-0.032392,-3.38093e-05,0.000355096,-0.00360005,0.00223158,-0.00585626,0.0036459
0.022,-0.00388577,-0.0091197,-0.0323606,-0.00885859,0.00393322,-0.0323133,-6.00527e-05,0.000376016,-0.00357057,0.00222374,-0.00585907,0.00361639
0.023,-0.0038767,-0.00904494,-0.03228,-0.00879179,0.00391884,-0.0322263,-9.1212e-05,0.000394847,-0.00354404,0.00220878,-0.00586304,0.00358979
0.024,-0.00386615,-0.00896645,-0.0321896,-0.00872173,0.00390407,-0.0321314,-0.000127281,0.000411588,-0.00352041,0.00218717,-0.00586808,0.00356606
0.025,-0.00385409,-0.00888461,-0.0320901,-0.00864844,0.00388888,-0.0320284,-0.000168182,0.000426285,-0.00349955,0.00215931,-0.00587411,0.00354507
0.026,-0.00384055,-0.00879972,-0.0319813,-0.00857198,0.00387324,-0.031918,-0.00021378,0.000439024,-0.00348128,0.00212558,-0.00588104,0.00352664
0.027,-0.00382559,-0.00871205,-0.031864,-0.00849236,0.00385717,-0.0318,-0.000263899,0.000449922,-0.00346538,0.00208634,-0.00588879,0.00351055
0.028,-0.00380932,-0.00862181,-0.0317388,-0.00840961,0.00384064,-0.0316753,-0.000318325,0.000459124,-0.00345158,0.00204189,-0.00589725,0.00349653
0.029,-0.00379183,-0.00852915,-0.031606,-0.00832376,0.00382367,-0.031544,-0.000376823,0.000466791,-0.00343957,0.00199252,-0.00590634,0.00348428
0.03,-0.00377327,-0.0084342,-0.0314661,-0.00823483,0.00380627,-0.0314066,-0.000439141,0.000473097,-0.00342906,0.00193851,-0.00591596,0.0034735
0.031,-0.00375378,-0.00833703,-0.03132,-0.00814285,0.00378843,-0.0312634,-0.000505019,0.000478226,-0.00341971,0.0018801,-0.00592603,0.00346386
0.032,-0.00373347,-0.0082377,-0.031168,-0.00804787,0.00377017,-0.0311146,-0.000574195,0.000482361,-0.00341122,0.00181751,-0.00593645,0.00345505
0.033,-0.00371248,-0.00813621,-0.0310106,-0.00794991,0.00375151,-0.030961,-0.000646405,0.000485687,-0.00340326,0.00175095,-0.00594715,0.00344676
0.034,-0.00369093,-0.00803255,-0.0308485,-0.00784902,0.00373245,-0.0308027,-0.000721396,0.000488382,-0.00339555,0.00168061,-0.00595804,0.00343868
0.035,-0.00366892,-0.00792672,-0.030682,-0.00774525,0.00371299,-0.0306401,-0.000798918,0.00049062,-0.00338779,0.00160666,-0.00596905,0.00343054
