"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.001,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121975,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.498,-21.111,892.433
0.002,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121918,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.498,-21.111,892.433
0.003,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0,0,-0.00981,172.01,-2.98587,0.030508,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.496,-21.1215,892.442
0.004,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.00649278,-0.0101578,-0.00160465,172.01,-2.98597,0.0923576,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4911,-21.1312,892.477
0.005,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0308392,-0.0322421,0.0405584,172.007,-2.98485,0.146626,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4851,-21.1421,892.515
0.006,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0554304,-0.0638325,0.0847164,172.006,-2.98424,0.202095,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4776,-21.1533,892.556
0.007,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0802212,-0.1022,0.134002,172.006,-2.98462,0.259693,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4685,-21.1647,892.6
0.008,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.104346,-0.14461,0.188595,172.009,-2.98576,0.319864,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4579,-21.1761,892.646
0.009,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.126731,-0.188338,0.248311,172.013,-2.98778,0.378246,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.446,-21.1871,892.692
0.01,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.143496,-0.230991,0.306607,172.02,-2.99316,0.427391,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4335,-21.1975,892.728
0.011,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.151408,-0.270924,0.355997,172.033,-3.01092,0.46991,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4209,-21.208,892.754
0.012,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.151014,-0.308785,0.397441,172.05,-3.03748,0.50606,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.4082,-21.2186,892.77
0.013,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.143647,-0.345628,0.431475,172.07,-3.06868,0.53611,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.3953,-21.229,892.777
0.014,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.130674,-0.38259,0.458536,172.091,-3.09747,0.56076,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.382,-21.2387,892.775
0.015,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.113588,-0.420188,0.479519,172.111,-3.11893,0.580347,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.3681,-21.2472,892.764
0.016,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0931518,-0.458236,0.495032,172.127,-3.1298,0.595186,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.3534,-21.2542,892.745
0.017,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0696222,-0.496053,0.505511,172.142,-3.13705,0.606518,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.3379,-21.2605,892.719
0.018,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0432431,-0.533291,0.512301,172.158,-3.14455,0.615217,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.3218,-21.2667,892.687
0.019,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,0.0146534,-0.570229,0.516529,172.175,-3.15231,0.62167,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.305,-21.2728,892.65
0.02,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.0157648,-0.607194,0.518851,172.192,-3.16036,0.626192,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.2875,-21.279,892.608
0.021,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.0477782,-0.644468,0.519621,172.21,-3.16871,0.629036,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.2693,-21.2854,892.562
0.022,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.081227,-0.682278,0.519042,172.228,-3.17734,0.630407,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.2504,-21.2919,892.511
