"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","CoP_ZMPX","CoP_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ","CoMAngularMomentumX","CoMAngularMomentumY","CoMAngularMomentumZ"
0.001,93.3686,-21.5834,86.1269,-1.4824,172.012,-3.33596,93.3686,-21.5834,0,0,0,0,0,0,0,0,0,0,0
0.002,93.3686,-21.5834,86.1269,-1.4824,172.012,-3.33595,93.3686,-21.5834,233.063,126.521,-0.132557,-0.76785,0.681069,0.226156,-0.241605,-0.12565,-0.440291,-0.0604228,-0.0511152
0.003,351.984,-71.4819,86.1226,-1.48072,172.007,-3.3371,221.098,29.9275,232.242,25.4698,-0.337676,-0.728282,2.5019,0.316899,-0.734059,-0.114546,-0.275132,-0.200908,-0.0392616
0.004,173.05,104.937,86.1259,-1.48585,172.01,-3.34238,217.916,151.334,233.051,124.971,-0.400877,-0.828642,2.70683,0.46959,-0.866352,-0.120223,-0.207043,-0.258002,-0.034207
0.005,225.412,2.32243,86.1367,-1.49633,172.021,-3.35402,224.124,126.447,233.063,126.521,-0.505606,-0.847627,2.92979,0.601959,-1.00833,-0.116264,-0.0866951,-0.286252,-0.0262081
0.006,232.46,-13.3515,86.1482,-1.51182,172.033,-3.37034,227.559,119.245,233.063,126.521,-0.615924,-0.85419,3.14523,0.726766,-1.15178,-0.111208,0.0369508,-0.311718,-0.0181484
0.007,244.292,-28.8765,86.161,-1.5312,172.046,-3.38986,229.353,113.601,233.063,126.521,-0.735628,-0.848451,3.35346,0.845575,-1.29524,-0.106339,0.16536,-0.329529,-0.0112216
0.008,209.466,-74.0011,86.1743,-1.55297,172.059,-3.41119,231.418,101.155,233.063,126.521,-0.827718,-0.80694,3.22184,0.918666,-1.36194,-0.100229,0.272438,-0.326799,-0.00698665
0.009,150.14,-110.056,86.1878,-1.57585,172.072,-3.43294,316.258,-178.973,233.063,126.521,-0.872772,-0.736851,2.57094,0.924476,-1.31294,-0.0947007,0.326345,-0.29857,-0.00701835
0.01,120.442,-35.1982,86.1996,-1.59986,172.084,-3.45511,-6569.33,13730.9,233.063,126.521,-0.894286,-0.726128,1.8663,0.925259,-1.25422,-0.100836,0.321379,-0.286498,-0.0136869
