"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00430518,-0.0093798,-0.0330678,-0.00937989,0.00430499,-0.0330267,0,0,-0.00405179,0.0031604,-0.00587025,0.00398872
0.002,-0.00430121,-0.00938132,-0.0330858,-0.00940513,0.00429984,-0.0330069,0,0,-0.00407149,0.00261898,-0.00591304,0.00400537
0.003,-0.00428766,-0.00939211,-0.033075,-0.00943343,0.00427457,-0.0329874,3.25969e-07,1.75753e-07,-0.00408286,0.00198748,-0.00590326,0.00401299
0.004,-0.00425978,-0.00941513,-0.0330452,-0.00944679,0.00424916,-0.032974,1.06536e-06,1.18178e-06,-0.00408638,0.00158778,-0.00589883,0.00401414
0.005,-0.00422272,-0.00944589,-0.033018,-0.00944969,0.00422959,-0.0329607,2.02802e-06,4.361e-06,-0.00409063,0.00132387,-0.00592677,0.00401686
0.006,-0.00418245,-0.00947976,-0.032987,-0.00944233,0.00420721,-0.0329499,3.50648e-06,1.06433e-05,-0.00408686,0.00121405,-0.00594228,0.00401246
0.007,-0.0041408,-0.00951312,-0.0329552,-0.00942539,0.00418189,-0.0329404,5.90231e-06,2.04587e-05,-0.00407508,0.00123586,-0.00594613,0.00400081
0.008,-0.00409907,-0.00954265,-0.0329244,-0.00940193,0.00415443,-0.0329309,9.30766e-06,3.4138e-05,-0.00405613,0.00134868,-0.00593904,0.00398253
0.009,-0.00405905,-0.00956507,-0.0328971,-0.00937572,0.00413193,-0.0329218,1.35064e-05,5.17499e-05,-0.00403054,0.00148355,-0.00592923,0.00395773
0.01,-0.0040243,-0.00957755,-0.0328801,-0.00935146,0.00411373,-0.0329106,1.81141e-05,7.30483e-05,-0.00400407,0.00161337,-0.00591846,0.00393201
0.011,-0.00399633,-0.00957945,-0.032871,-0.00933051,0.00409593,-0.0328932,2.27365e-05,9.74793e-05,-0.0039781,0.0017384,-0.00590464,0.00390676
0.012,-0.00397438,-0.00957171,-0.0328614,-0.00931097,0.00407798,-0.0328684,2.6888e-05,0.000124317,-0.00394978,0.00185407,-0.0058887,0.00387909
0.013,-0.00395737,-0.00955542,-0.032845,-0.00928928,0.00406015,-0.0328388,2.9995e-05,0.000152804,-0.00391722,0.00195524,-0.00587311,0.00384709
0.014,-0.00394424,-0.00953145,-0.0328199,-0.00926166,0.00404349,-0.0328078,3.14575e-05,0.000182203,-0.00387955,0.00203748,-0.00586052,0.00380988
0.015,-0.00393418,-0.00950016,-0.0327861,-0.00922565,0.00402878,-0.0327759,3.06739e-05,0.000211844,-0.00383659,0.00209806,-0.00585251,0.00376726
0.016,-0.00392668,-0.00946145,-0.0327488,-0.00918241,0.00401519,-0.0327413,2.70566e-05,0.000241132,-0.00379229,0.00214061,-0.00584804,0.0037232
0.017,-0.00392089,-0.00941542,-0.03271,-0.00913465,0.00400167,-0.0326996,2.00925e-05,0.000269561,-0.00375023,0.00217086,-0.00584545,0.00368131
0.018,-0.00391572,-0.00936271,-0.032667,-0.00908321,0.0039881,-0.032649,9.31616e-06,0.000296709,-0.00371102,0.00219114,-0.00584438,0.00364222
0.019,-0.00391034,-0.00930405,-0.0326174,-0.00902809,0.00397451,-0.0325902,-5.6831e-06,0.000322252,-0.00367465,0.00220226,-0.0058448,0.00360592
0.02,-0.00390419,-0.00924005,-0.0325593,-0.0089694,0.00396077,-0.0325229,-2.52188e-05,0.000345965,-0.00364107,0.00220495,-0.0058466,0.00357236
0.021,-0.00389693,-0.00917124,-0.0324918,-0.00890725,0.0039468,-0.0324473,-4.95144e-05,0.000367698,-0.00361036,0.00219978,-0.00584973,0.00354165
0.022,-0.00389174,-0.00912577,-0.0324446,-0.00886647,0.00393785,-0.0323956,-6.717e-05,0.000380397,-0.00359245,0.00219296,-0.00585229,0.0035237
0.023,-0.00388228,-0.00905012,-0.0323615,-0.00879889,0.00392332,-0.0323064,-9.94412e-05,0.000398751,-0.00356655,0.00217608,-0.00585738,0.00349773
0.024,-0.00387133,-0.00897082,-0.0322688,-0.00872805,0.00390839,-0.0322094,-0.0001366,0.000415027,-0.00354351,0.00215262,-0.00586356,0.00347458
0.025,-0.00385887,-0.00888824,-0.0321667,-0.00865399,0.00389303,-0.0321045,-0.000178557,0.000429281,-0.0035232,0.00212298,-0.00587075,0.00345413
0.026,-0.00384494,-0.00880267,-0.0320557,-0.00857677,0.00387723,-0.031992,-0.000225168,0.000441608,-0.00350543,0.00208754,-0.00587887,0.00343619
0.027,-0.0038296,-0.00871436,-0.0319363,-0.00849639,0.00386098,-0.0318723,-0.000276245,0.000452132,-0.00348995,0.00204663,-0.00588781,0.00342052
0.028,-0.00381297,-0.00862353,-0.0318089,-0.00841288,0.00384427,-0.0317457,-0.000331572,0.000461001,-0.00347651,0.00200057,-0.00589749,0.00340685
0.029,-0.00379515,-0.0085303,-0.031674,-0.00832628,0.00382712,-0.0316124,-0.00039091,0.000468379,-0.00346478,0.00194964,-0.00590781,0.00339488
0.03,-0.00377629,-0.0084348,-0.0315324,-0.00823661,0.00380953,-0.0314734,-0.000454005,0.000474443,-0.00345448,0.00189411,-0.00591867,0.0033843
0.031,-0.00375651,-0.0083371,-0.0313846,-0.00814389,0.00379151,-0.0313284,-0.000520596,0.000479378,-0.00344526,0.00183421,-0.00593,0.00337478
0.032,-0.00373595,-0.00823722,-0.0312309,-0.00804818,0.00377308,-0.0311782,-0.000590422,0.000483366,-0.00343682,0.00177017,-0.0059417,0.00336601
0.033,-0.00371473,-0.00813519,-0.0310721,-0.0079495,0.00375423,-0.031023,-0.000663222,0.000486592,-0.00342884,0.00170219,-0.00595369,0.00335769
0.034,-0.00369297,-0.00803098,-0.0309085,-0.0078479,0.00373498,-0.0308635,-0.000738742,0.000489234,-0.00342104,0.00163045,-0.00596589,0.00334952
0.035,-0.00367077,-0.00792459,-0.0307406,-0.00774342,0.00371534,-0.0306995,-0.000816738,0.00049146,-0.00341313,0.00155513,-0.00597824,0.00334122
0.036,-0.00364822,-0.00781596,-0.030569,-0.0076361,0.00369532,-0.0305316,-0.000896975,0.00049343,-0.00340486,0.00147636,-0.00599065,0.00333254
0.037,-0.00362538,-0.00770505,-0.0303937,-0.007526,0.00367492,-0.0303605,-0.000979234,0.000495293,-0.00339601,0.0013943,-0.00600308,0.00332326
0.038,-0.00360231,-0.00759182,-0.0302153,-0.00741316,0.00365414,-0.0301857,-0.00106331,0.000497182,-0.00338638,0.00130906,-0.00601547,0.00331317
0.039,-0.00357906,-0.00747622,-0.0300339,-0.00729762,0.003633,-0.0300078,-0.00114901,0.000499218,-0.00337578,0.00122076,-0.00602776,0.00330211
0.04,-0.00355565,-0.0073582,-0.0298499,-0.00717943,0.00361148,-0.0298269,-0.00123617,0.000501507,-0.00336409,0.00112949,-0.0060399,0.00328992
0.041,-0.0035321,-0.00723773,-0.0296633,-0.00705862,0.0035896,-0.0296435,-0.00132462,0.00050414,-0.00335116,0.00103536,-0.00605186,0.00327649
0.042,-0.00350647,-0.00710452,-0.0294589,-0.00692496,0.00356551,-0.0294421,-0.00142165,0.000507472,-0.00333568,0.000930324,-0.00606454,0.00326043
0.043,-0.00348263,-0.00697883,-0.0292677,-0.00679882,0.00354287,-0.0292535,-0.00151239,0.00051105,-0.00331995,0.000830479,-0.00607598,0.00324415
0.044,-0.00345865,-0.00685061,-0.0290744,-0.00667016,0.00351989,-0.0290623,-0.00160405,0.000515162,-0.00330291,0.000727966,-0.00608716,0.00322655
0.045,-0.00343449,-0.00671984,-0.0288794,-0.00653897,0.00349665,-0.0288684,-0.00169657,0.000519842,-0.0032849,0.000622737,-0.00609817,0.00320796
0.046,-0.00341017,-0.00658654,-0.0286826,-0.00640524,0.00347321,-0.0286717,-0.00178987,0.000525116,-0.00326618,0.000514754,-0.00610907,0.00318865
0.047,-0.00338569,-0.00645068,-0.0284835,-0.00626897,0.00344952,-0.0284724,-0.00188388,0.000530999,-0.00324643,0.000404162,-0.00611972,0.00316829
0.048,-0.00336104,-0.00631223,-0.0282815,-0.00613023,0.00342545,-0.0282712,-0.00197859,0.00053749,-0.00322506,0.00029119,-0.00612992,0.00314629
0.049,-0.00333694,-0.00617148,-0.0280817,-0.00597392,0.00341263,-0.0280633,-0.00206926,0.000540631,-0.0032067,0.00017956,-0.00614289,0.00312731
0.05,-0.00332125,-0.00602623,-0.0278878,-0.00578487,0.00341424,-0.027843,-0.00213005,0.000521212,-0.0031965,7.31413e-05,-0.00616383,0.00311644
0.051,-0.00332384,-0.00587058,-0.0276891,-0.00560014,0.00338831,-0.0276189,-0.00213962,0.000463084,-0.00318781,-3.9299e-05,-0.00618806,0.00310694
0.052,-0.00333303,-0.00570449,-0.0274832,-0.00541413,0.00335097,-0.0273921,-0.00213652,0.000388265,-0.00317985,-0.000159278,-0.00621074,0.00309807
0.053,-0.00334032,-0.00552793,-0.0272703,-0.00522469,0.00330901,-0.0271628,-0.0021498,0.000314518,-0.00317236,-0.000287696,-0.00623009,0.00308962
