"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","CoP_ZMPX","CoP_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.001,93.3686,-21.5834,86.1268,-1.48239,86.1268,-1.48239,93.3686,-21.5834,0,0,0,0,0,0,0,0
0.002,93.3676,-21.5898,86.1243,-1.48138,86.1243,-1.48138,93.3676,-21.5898,233.063,126.521,-0.132557,-0.76785,0.681069,0.226156,-0.2416,-0.125621
0.003,351.989,-71.4876,86.1245,-1.48379,86.1245,-1.48379,221.091,29.9257,232.242,25.4698,-0.337677,-0.728283,2.5019,0.316899,-0.734037,-0.114558
0.004,172.971,104.966,86.1323,-1.49214,86.1323,-1.49214,217.913,151.311,233.051,124.957,-0.400816,-0.828669,2.70694,0.46959,-0.866353,-0.12023
0.005,225.411,2.32669,86.1436,-1.50563,86.1436,-1.50563,224.115,126.443,233.063,126.521,-0.505545,-0.847662,2.9299,0.60196,-1.00833,-0.116282
0.006,232.458,-13.359,86.1558,-1.52345,86.1558,-1.52345,227.552,119.238,233.063,126.521,-0.615864,-0.854225,3.14534,0.726765,-1.15178,-0.111249
0.007,244.173,-28.8264,86.169,-1.54427,86.169,-1.54427,229.336,113.598,233.063,126.521,-0.735474,-0.848532,3.3536,0.84558,-1.29523,-0.106401
0.008,209.452,-73.9484,86.1824,-1.56671,86.1824,-1.56671,231.395,101.163,233.063,126.521,-0.827555,-0.807069,3.22237,0.91872,-1.36201,-0.100308
0.009,150.46,-110.358,86.1948,-1.59026,86.1948,-1.59026,316.428,-179.525,233.063,126.521,-0.872867,-0.736748,2.57143,0.924512,-1.31302,-0.0947375
0.01,120.424,-35.1335,86.2057,-1.61717,86.2057,-1.61717,-6595.69,13796.2,233.063,126.521,-0.894374,-0.72608,1.86679,0.925285,-1.25429,-0.100877
0.011,118.584,-39.6261,86.2149,-1.64802,86.2149,-1.64802,-2790.87,5095.22,233.063,126.521,-0.91443,-0.711859,1.16115,0.930116,-1.19437,-0.106712
0.012,117.87,-51.6869,86.2221,-1.68132,86.2221,-1.68132,692.329,-587.267,233.08,126.481,-0.933931,-0.688083,0.468122,0.93918,-1.13606,-0.110511
0.013,135.757,-93.604,86.227,-1.71465,86.227,-1.71465,310.704,-15.5807,233.092,126.453,-0.967624,-0.631081,-0.181262,0.953609,-1.08728,-0.107065
0.014,152.984,-128.776,86.2292,-1.74552,86.2292,-1.74552,281.749,23.4049,233.103,126.429,-1.01499,-0.546198,-0.795355,0.970983,-1.04689,-0.0972598
0.015,166.71,-157.912,86.2284,-1.77201,86.2284,-1.77201,274.279,27.3758,233.11,126.414,-1.07324,-0.438219,-1.38054,0.989508,-1.01377,-0.0823477
0.016,161.103,-92.3613,86.2252,-1.79531,86.2252,-1.79531,254.517,68.438,233.112,126.41,-1.12707,-0.382215,-1.88856,1.01818,-0.99796,-0.0766524
0.017,153.76,-41.6231,86.2205,-1.81775,86.2205,-1.81775,242.398,90.5276,233.112,126.41,-1.17509,-0.366445,-2.31403,1.05865,-0.999801,-0.0787499
0.018,156.348,-29.5818,86.2148,-1.84011,86.2148,-1.84011,238.323,97.2527,233.112,126.41,-1.22517,-0.360225,-2.69008,1.1058,-1.0123,-0.0828016
0.019,157.722,-21.7475,86.2084,-1.86255,86.2084,-1.86255,236.436,100.058,233.112,126.41,-1.27637,-0.360223,-3.03446,1.15704,-1.03168,-0.0882713
0.02,159.272,-15.9717,86.2014,-1.88524,86.2014,-1.88524,235.332,101.594,233.112,126.41,-1.3288,-0.364803,-3.35589,1.21117,-1.05607,-0.0946357
0.021,161.224,-12.1379,86.194,-1.9083,86.194,-1.9083,234.932,102.49,233.112,126.41,-1.38281,-0.372429,-3.6606,1.26735,-1.08426,-0.101328
0.022,162.931,-8.31351,86.1891,-1.92304,86.1891,-1.92304,234.538,103.613,233.112,126.41,-1.43818,-0.383092,-3.95094,1.32548,-1.11567,-0.108355
0.023,164.65,-4.85178,86.1811,-1.94687,86.1811,-1.94687,234.19,104.746,233.112,126.41,-1.49493,-0.396504,-4.22901,1.38536,-1.14982,-0.11559
