"Timestamp","Actual_LeftTorqueX","Actual_LeftTorqueY","Actual_LeftTorqueZ","Target_LeftTorqueX","Target_LeftTorqueY","Target_LeftTorqueZ","Actual_RightTorqueX","Actual_RightTorqueY","Actual_RightTorqueZ","Target_RightTorqueX","Target_RightTorqueY","Target_RightTorqueZ","Actual_LeftForceX","Actual_LeftForceY","Actual_LeftForceZ","Target_LeftForceX","Target_LeftForceY","Target_LeftForceZ","Actual_RightForceX","Actual_RightForceY","Actual_RightForceZ","Target_RightForceX","Target_RightForceY","Target_RightForceZ"
0.001,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0670204,-0.369717,0.0718657,0,0,0,155.071,-67.285,14.9042,0,0,0,8.03669,-9.89968,19.3331,0,0,0,-136.009,-749.163,1350.08,0,0,0
0.003,0.539492,-0.803926,0.156275,0,0,0,159.91,-136.48,28.3184,0,0,0,21.1752,-14.9411,58.8348,0,0,0,-219.247,34.8945,2572.57,0,0,0
0.004,0.158806,-2.17448,0.422718,0,0,0,154.234,-55.3051,12.707,0,0,0,15.334,-19.3222,52.603,0,0,0,-69.1544,-111.055,1025.92,0,0,0
0.005,-0.391013,-2.36451,0.45973,0,0,0,153.79,-48.9588,11.506,0,0,0,0.62468,-14.9532,24.8082,0,0,0,-111.579,-35.5609,954.735,0,0,0
0.006,-0.492287,-2.91062,0.566109,0,0,0,153.784,-48.8805,11.5061,0,0,0,-0.313033,-10.117,27.8187,0,0,0,-115.967,-24.4557,948.231,0,0,0
0.007,-0.386634,-3.39546,0.660762,0,0,0,153.671,-47.2622,11.199,0,0,0,-2.11515,-5.42354,27.8152,0,0,0,-125.045,-12.4695,941.341,0,0,0
0.008,-0.203424,-3.56122,0.693497,0,0,0,101.6,-29.1118,6.99198,0,0,0,-6.97589,-0.770104,22.3133,0,0,0,-98.171,24.9767,604.988,0,0,0
0.009,-0.0188542,-3.30169,0.643492,0,0,0,17.0538,-0.996721,0.422454,0,0,0,-13.1138,2.77843,10.8141,0,0,0,-52.6679,59.0731,74.1867,0,0,0
0.01,0.203784,-3.0017,0.585607,0,0,0,0.111554,2.67865,-0.515489,0,0,0,-15.1633,3.51699,3.82643,0,0,0,-29.0545,10.3652,-5.94527,0,0,0
0.011,0.536369,-2.53749,0.495643,0,0,0,0.587881,2.4852,-0.471811,0,0,0,-13.7172,2.30135,4.83958,0,0,0,-27.043,14.4043,-6.37762,0,0,0
0.012,0.98079,-2.06388,0.403728,0,0,0,3.71512,1.3045,-0.201768,0,0,0,-11.5139,0.545198,5.54371,0,0,0,-25.5911,22.6051,7.1349,0,0,0
0.013,1.50116,-1.62524,0.318488,0,0,0,13.7435,-1.19758,0.417075,0,0,0,-9.09256,-0.801404,6.68148,0,0,0,-37.4879,50.7346,51.1005,0,0,0
0.014,2.13263,-1.2785,0.251081,0,0,0,22.1178,-3.18957,0.91588,0,0,0,-7.15006,-1.0836,7.99191,0,0,0,-49.029,74.4266,88.3297,0,0,0
0.015,2.81833,-0.989147,0.194767,0,0,0,28.994,-4.82599,1.32666,0,0,0,-6.21687,-0.322109,8.79693,0,0,0,-58.5463,94.4393,118.682,0,0,0
0.016,3.51062,-0.743908,0.146958,0,0,0,37.3022,-9.06592,2.26264,0,0,0,-5.59072,0.466841,9.97813,0,0,0,-55.6709,47.6354,196.453,0,0,0
0.017,4.06825,-0.496276,0.0984856,0,0,0,47.8415,-13.8572,3.3387,0,0,0,-4.68903,0.439877,12.1485,0,0,0,-52.1314,10.9166,282.327,0,0,0
0.018,4.55747,-0.256748,0.0514151,0,0,0,55.5041,-16.6904,3.99874,0,0,0,-3.74419,-0.037112,13.7232,0,0,0,-54.6812,1.30796,334.874,0,0,0
0.019,4.92885,-0.0795426,0.0164612,0,0,0,60.347,-18.5099,4.42578,0,0,0,-3.14993,-0.541567,14.6388,0,0,0,-56.0527,-5.19049,368.226,0,0,0
0.02,5.18769,0.0481719,-0.00885005,0,0,0,63.7902,-19.7914,4.731,0,0,0,-2.76535,-0.997834,15.1873,0,0,0,-57.4395,-10.0854,392.027,0,0,0
0.021,5.36436,0.139221,-0.0270026,0,0,0,66.2879,-20.6906,4.95046,0,0,0,-2.51591,-1.3559,15.5386,0,0,0,-58.9951,-13.4377,409.132,0,0,0
0.022,5.43358,0.195896,-0.0384082,0,0,0,68.4094,-21.4538,5.13976,0,0,0,-2.39653,-1.61486,15.8443,0,0,0,-60.4327,-16.6344,423.86,0,0,0
0.023,5.42279,0.222969,-0.0439665,0,0,0,70.2027,-22.0878,5.30072,0,0,0,-2.34973,-1.79519,16.0821,0,0,0,-61.8885,-19.4636,436.377,0,0,0
0.024,5.34478,0.224846,-0.0445127,0,0,0,71.7183,-22.6141,5.43812,0,0,0,-2.36232,-1.91755,16.2781,0,0,0,-63.328,-21.9933,447.029,0,0,0
0.025,5.2118,0.20559,-0.0408191,0,0,0,73.0104,-23.0549,5.55694,0,0,0,-2.41796,-1.99993,16.4408,0,0,0,-64.7344,-24.2896,456.185,0,0,0
0.026,5.03526,0.168986,-0.0336092,0,0,0,74.1237,-23.4285,5.66128,0,0,0,-2.50215,-2.05837,16.5787,0,0,0,-66.0941,-26.407,464.15,0,0,0
0.027,4.82541,0.118543,-0.0235576,0,0,0,75.0924,-23.7489,5.75427,0,0,0,-2.60295,-2.10588,16.6978,0,0,0,-67.3946,-28.3865,471.154,0,0,0
