"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","CoP_ZMPX","CoP_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ","CoMAngularMomentumX","CoMAngularMomentumY","CoMAngularMomentumZ"
0.001,93.3686,-21.5834,86.1268,-1.48239,86.1268,-1.48239,93.3686,-21.5834,0,0,0,0,0,0,0,0,0,0,0
0.002,93.3686,-21.5834,86.1268,-1.48238,86.1268,-1.48238,93.3686,-21.5834,233.063,126.521,-0.132557,-0.76785,0.681069,0.226156,-0.241605,-0.12565,-0.440291,-0.0604228,-0.0511152
0.003,351.984,-71.4819,86.1226,-1.48071,86.1226,-1.48071,221.098,29.9275,232.242,25.4698,-0.337676,-0.728282,2.5019,0.316899,-0.734059,-0.114546,-0.275132,-0.200908,-0.0392616
0.004,172.974,104.949,86.1258,-1.48584,86.1258,-1.48584,217.907,151.319,233.051,124.961,-0.400816,-0.828652,2.7069,0.469587,-0.866359,-0.120227,-0.207053,-0.258056,-0.0342109
0.005,225.349,2.31106,86.1366,-1.49632,86.1366,-1.49632,224.108,126.441,233.063,126.521,-0.505495,-0.847627,2.92986,0.60195,-1.00832,-0.116272,-0.0867031,-0.286335,-0.0262183
0.006,232.362,-13.3725,86.1482,-1.51182,86.1482,-1.51182,227.537,119.234,233.063,126.521,-0.615737,-0.854174,3.1453,0.726747,-1.15175,-0.111222,0.036948,-0.311848,-0.018168
0.007,244.176,-28.9084,86.1609,-1.5312,86.1609,-1.5312,229.326,113.587,233.063,126.521,-0.735349,-0.84841,3.35352,0.845543,-1.29518,-0.106359,0.165367,-0.329715,-0.0112513
0.008,209.293,-74.0688,86.1743,-1.55297,86.1743,-1.55297,231.372,101.118,233.063,126.521,-0.827301,-0.806845,3.22156,0.918579,-1.36178,-0.100252,0.272429,-0.327034,-0.00702826
0.009,149.94,-109.941,86.1877,-1.57585,86.1877,-1.57585,315.851,-179.731,233.063,126.521,-0.872197,-0.736848,2.57056,0.924367,-1.31273,-0.0947537,0.326232,-0.298901,-0.00708409
0.01,120.447,-35.2009,86.1995,-1.59988,86.1995,-1.59988,-6564.99,13782.7,233.063,126.521,-0.893716,-0.726122,1.86592,0.925141,-1.25398,-0.100896,0.321257,-0.286799,-0.01376
0.011,118.544,-39.6582,86.2098,-1.62874,86.2098,-1.62874,-2776.76,5093.13,233.063,126.521,-0.913736,-0.71187,1.16028,0.929968,-1.19402,-0.106727,0.323437,-0.274909,-0.0204847
0.012,117.824,-51.8498,86.2182,-1.66096,86.2182,-1.66096,685.053,-580.471,233.081,126.481,-0.933194,-0.687961,0.467363,0.939035,-1.1357,-0.110494,0.338694,-0.263959,-0.026058
0.013,135.693,-93.7318,86.2246,-1.695,86.2246,-1.695,310.156,-15.6054,233.093,126.453,-0.96683,-0.630853,-0.181949,0.953458,-1.08691,-0.107023,0.389708,-0.245882,-0.027179
0.014,152.894,-128.869,86.2285,-1.72789,86.2285,-1.72789,281.471,23.2822,233.103,126.429,-1.01411,-0.545894,-0.79601,0.970818,-1.0465,-0.0971969,0.469133,-0.220772,-0.0242444
0.015,166.607,-157.998,86.2296,-1.75744,86.2296,-1.75744,274.077,27.257,233.11,126.413,-1.07228,-0.437845,-1.38118,0.989327,-1.01335,-0.0822669,0.57082,-0.190568,-0.0181201
0.016,161.019,-92.545,86.2275,-1.78191,86.2275,-1.78191,254.42,68.3193,233.112,126.409,-1.12603,-0.381694,-1.88923,1.01797,-0.99751,-0.076544,0.638258,-0.17439,-0.0164618
0.017,153.667,-41.7284,86.2235,-1.80444,86.2235,-1.80444,242.333,90.4505,233.112,126.409,-1.17397,-0.365838,-2.3147,1.05842,-0.999325,-0.0786272,0.683532,-0.173326,-0.0189801
0.018,156.254,-29.6862,86.2183,-1.82681,86.2183,-1.82681,238.27,97.1847,233.112,126.409,-1.22397,-0.359533,-2.69075,1.10554,-1.0118,-0.0826658,0.728081,-0.176476,-0.0225183
0.019,157.63,-21.8491,86.2122,-1.84916,86.2122,-1.84916,236.392,100,233.112,126.409,-1.27508,-0.359447,-3.03513,1.15676,-1.03115,-0.0881234,0.771891,-0.182573,-0.0268715
0.02,159.16,-16.0611,86.2056,-1.87167,86.2056,-1.87167,235.292,101.545,233.112,126.409,-1.32742,-0.363955,-3.35657,1.21087,-1.05553,-0.094482,0.815011,-0.190452,-0.0316709
0.021,161.147,-12.2432,86.1984,-1.89447,86.1984,-1.89447,234.901,102.434,233.112,126.409,-1.38135,-0.371495,-3.66129,1.26703,-1.08369,-0.101159,0.857858,-0.199148,-0.0364715
0.022,162.84,-8.42066,86.1908,-1.91768,86.1908,-1.91768,234.498,103.552,233.112,126.409,-1.43664,-0.382071,-3.95164,1.32513,-1.11507,-0.108173,0.90026,-0.208515,-0.0412962
0.023,164.558,-4.95703,86.1828,-1.94137,86.1828,-1.94137,234.15,104.685,233.112,126.409,-1.49331,-0.395398,-4.22973,1.38498,-1.1492,-0.115396,0.942244,-0.218256,-0.0460439
0.024,166.258,-1.80302,86.1744,-1.9656,86.1744,-1.9656,233.871,105.81,233.112,126.409,-1.55136,-0.411233,-4.49734,1.44643,-1.18567,-0.122733,0.983821,-0.22815,-0.0506431
0.025,167.919,1.09886,86.1656,-1.99041,86.1656,-1.99041,233.637,106.908,233.112,126.409,-1.61074,-0.429375,-4.75593,1.50932,-1.22416,-0.130114,1.02499,-0.238036,-0.0550422
0.026,169.527,3.79642,86.1565,-2.01582,86.1565,-2.01582,233.43,107.962,233.112,126.409,-1.67142,-0.449663,-5.00666,1.57354,-1.26442,-0.137487,1.06576,-0.247798,-0.0592042
0.027,171.068,6.32218,86.1469,-2.04185,86.1469,-2.04185,233.241,108.959,233.112,126.409,-1.73334,-0.471962,-5.25045,1.63896,-1.30622,-0.14481,1.1061,-0.257357,-0.0631035
0.028,172.524,8.70247,86.1368,-2.06853,86.1368,-2.06853,233.061,109.891,233.112,126.409,-1.79645,-0.496156,-5.48808,1.7055,-1.34939,-0.152057,1.14601,-0.266664,-0.0667243
0.029,173.891,10.955,86.1263,-2.09588,86.1263,-2.09588,232.882,110.754,233.112,126.409,-1.86066,-0.522146,-5.72019,1.77305,-1.39378,-0.159209,1.18546,-0.275693,-0.0700589
0.03,175.153,13.0948,86.1153,-2.1239,86.1153,-2.1239,232.702,111.546,233.112,126.409,-1.92591,-0.549841,-5.94734,1.84154,-1.43926,-0.166255,1.22444,-0.284437,-0.073107
0.031,176.303,15.1311,86.1038,-2.15264,86.1038,-2.15264,232.514,112.263,233.112,126.409,-1.99209,-0.579161,-6.17,1.91088,-1.48571,-0.173191,1.26293,-0.292903,-0.0758736
0.032,177.34,17.0725,86.0918,-2.1821,86.0918,-2.1821,232.319,112.915,233.112,126.409,-2.05912,-0.610032,-6.38857,1.981,-1.53304,-0.180018,1.30092,-0.301109,-0.0783691
0.033,178.257,18.9233,86.0793,-2.21233,86.0793,-2.21233,232.117,113.503,233.112,126.409,-2.12691,-0.642381,-6.60343,2.05183,-1.58115,-0.186741,1.33839,-0.309083,-0.0806075
0.034,179.06,20.6849,86.0663,-2.24335,86.0663,-2.24335,231.905,114.029,233.112,126.409,-2.19537,-0.676139,-6.81489,2.12331,-1.62997,-0.193369,1.37534,-0.316854,-0.0826053
0.035,179.754,22.3618,86.0527,-2.27521,86.0527,-2.27521,231.685,114.5,233.112,126.409,-2.26442,-0.71124,-7.02324,2.19539,-1.67942,-0.199913,1.41176,-0.324455,-0.0843813
0.036,180.344,23.9519,86.0386,-2.30792,86.0386,-2.30792,231.464,114.923,233.112,126.409,-2.33396,-0.747616,-7.22873,2.26801,-1.72944,-0.206383,1.44766,-0.33192,-0.0859556
0.037,180.842,25.4612,86.024,-2.34153,86.024,-2.34153,231.235,115.295,233.112,126.409,-2.40393,-0.785202,-7.43158,2.34113,-1.77999,-0.212793,1.48305,-0.33928,-0.087349
0.038,181.259,26.8855,86.0089,-2.37606,86.0089,-2.37606,231.008,115.625,233.112,126.409,-2.47427,-0.823932,-7.63199,2.41471,-1.83101,-0.219158,1.51793,-0.346565,-0.0885826
0.039,181.604,28.2275,85.9933,-2.41156,85.9933,-2.41156,230.787,115.913,233.112,126.409,-2.54492,-0.863743,-7.83014,2.4887,-1.88246,-0.225489,1.55232,-0.353801,-0.089677
0.04,181.891,29.4898,85.9771,-2.44803,85.9771,-2.44803,230.568,116.162,233.112,126.409,-2.61583,-0.904571,-8.02615,2.56307,-1.93432,-0.231801,1.58624,-0.361011,-0.0906523
0.041,182.133,30.6711,85.9605,-2.48551,85.9605,-2.48551,230.361,116.376,233.112,126.409,-2.68698,-0.946351,-8.22017,2.63779,-1.98656,-0.238105,1.61972,-0.368213,-0.0915274
0.042,182.341,31.773,85.9434,-2.52402,85.9434,-2.52402,230.164,116.55,233.112,126.409,-2.75833,-0.989025,-8.4123,2.71283,-2.03916,-0.244414,1.65276,-0.375422,-0.09232
0.043,182.529,32.7976,85.9258,-2.56356,85.9258,-2.56356,229.984,116.693,233.112,126.409,-2.82986,-1.03253,-8.60262,2.78816,-2.09211,-0.250736,1.68541,-0.382647,-0.093046
0.044,183.587,33.2819,85.9077,-2.60415,85.9077,-2.60415,229.952,116.78,233.112,126.409,-2.90228,-1.07643,-8.79147,2.86372,-2.14541,-0.257174,1.71796,-0.389308,-0.0938328
0.045,184.767,33.4829,85.8891,-2.64576,85.8891,-2.64576,230.013,116.803,233.112,126.409,-2.97568,-1.12052,-8.97904,2.93946,-2.19907,-0.263881,1.75055,-0.395335,-0.0948509
0.046,185.829,33.5762,85.87,-2.68837,85.87,-2.68837,230.103,116.767,233.112,126.409,-3.04997,-1.16469,-9.16532,3.01533,-2.2531,-0.270941,1.78324,-0.400834,-0.0961947
0.047,182.838,35.7186,85.8502,-2.73192,85.8502,-2.73192,229.589,116.778,233.112,126.409,-3.12193,-1.21059,-9.34897,3.09153,-2.30749,-0.277955,1.81479,-0.408523,-0.0973847
0.048,186.265,34.9869,85.83,-2.77644,85.83,-2.77644,229.88,116.653,233.112,126.409,-3.19665,-1.25593,-9.53142,3.16782,-2.36235,-0.28497,1.84695,-0.414111,-0.0985683
0.049,-455.793,-911.897,85.8092,-2.82186,85.8092,-2.82186,-59.64,-147.72,-60.8793,-132.467,-2.76072,-0.548124,-8.19404,2.88183,-2.17571,-0.263168,2.21653,-0.489697,-0.151681
0.05,-91.5056,-281.768,85.8042,-2.83811,85.8042,-2.83811,-17.3391,-110.571,-60.8793,-132.467,-2.61456,-0.341511,-7.31499,2.72235,-2.08338,-0.244005,2.25916,-0.445564,-0.154799
