"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
0.001,93.3686,-21.5834,0,0,0,0,0
0.002,92.4115,-25.124,0,0,0,0,0
0.003,91.7801,-26.0446,0,0,0,0,0
0.004,91.0783,-26.0512,0,0,0,0,0
0.005,90.5539,-25.6268,0,0,0,0,0
0.006,90.5288,-25.3957,0,0,0,0,0
0.007,90.4817,-25.1882,0,0,0,0,0
0.008,90.4481,-25.0096,0,0,0,0,0
0.009,90.423,-24.8537,0,0,0,0,0
0.01,90.4031,-24.7133,0,0,0,0,0
0.011,90.3859,-24.5835,0,0,0,0,0
0.012,90.3738,-24.458,0,0,0,0,0
0.013,90.359,-24.3416,0,0,0,0,0
0.014,90.3447,-24.2297,0,0,0,0,0
0.015,90.3307,-24.1215,0,0,0,0,0
0.016,90.317,-24.0168,0,0,0,0,0
0.017,90.3037,-23.9155,0,0,0,0,0
0.018,90.2907,-23.8174,0,0,0,0,0
0.019,90.2779,-23.7227,0,0,0,0,0
0.02,90.2654,-23.6312,0,0,0,0,0
0.021,90.2531,-23.543,0,0,0,0,0
0.022,90.2387,-23.4591,0,0,0,0,0
0.023,90.2266,-23.3771,0,0,0,0,0
0.024,90.2144,-23.2981,0,0,0,0,0
0.025,90.2024,-23.222,0,0,0,0,0
0.026,90.1903,-23.1488,0,0,0,0,0
0.027,90.178,-23.0782,0,0,0,0,0
0.028,90.1655,-23.0103,0,0,0,0,0
0.029,90.1528,-22.9448,0,0,0,0,0
0.03,90.1398,-22.8819,0,0,0,0,0
0.031,90.1265,-22.8215,0,0,0,0,0
0.032,90.1134,-22.7633,0,0,0,0,0
0.033,90.0997,-22.7078,0,0,0,0,0
0.034,90.0857,-22.6547,0,0,0,0,0
0.035,90.0716,-22.6041,0,0,0,0,0
0.036,90.0573,-22.5559,0,0,0,0,0
0.037,90.0429,-22.5104,0,0,0,0,0
0.038,90.0283,-22.4674,0,0,0,0,0
0.039,90.0137,-22.4271,0,0,0,0,0
0.04,89.999,-22.3894,0,0,0,0,0
0.041,89.9843,-22.3545,0,0,0,0,0
0.042,89.969,-22.3224,0,0,0,0,0
0.043,89.9543,-22.293,0,0,0,0,0
0.044,89.9397,-22.2664,0,0,0,0,0
0.045,89.925,-22.2427,0,0,0,0,0
0.046,89.9105,-22.2219,0,0,0,0,0
0.047,89.8961,-22.204,0,0,0,0,0
0.048,89.8817,-22.189,0,0,0,0,0
0.049,89.8675,-22.177,0,0,0,0,0
0.05,89.8534,-22.1679,0,0,0,0,0
0.051,89.8395,-22.1617,0,0,0,0,0
0.052,89.831,-22.158,0,0,0,0,0
0.053,89.8175,-22.1577,0,0,0,0,0
0.054,89.8041,-22.1604,0,0,0,0,0
0.055,89.791,-22.166,0,0,0,0,0
0.056,89.7782,-22.1746,0,0,0,0,0
0.057,89.7656,-22.1861,0,0,0,0,0
0.058,89.7532,-22.2006,0,0,0,0,0
0.059,89.7412,-22.218,0,0,0,0,0
0.06,89.7294,-22.2383,0,0,0,0,0
0.061,89.718,-22.2616,0,0,0,0,0
0.062,89.7034,-22.2884,0,0,0,0,0
0.063,89.6927,-22.3176,0,0,0,0,0
0.064,89.6823,-22.3498,0,0,0,0,0
0.065,89.6724,-22.3849,0,0,0,0,0
0.066,89.6628,-22.423,0,0,0,0,0
0.067,89.6537,-22.464,0,0,0,0,0
0.068,89.6449,-22.5081,0,0,0,0,0
0.069,89.6367,-22.5551,0,0,0,0,0
0.07,89.6289,-22.605,0,0,0,0,0
0.071,89.6215,-22.658,0,0,0,0,0
0.072,89.614,-22.7141,0,0,0,0,0
0.073,89.6076,-22.773,0,0,0,0,0
0.074,89.6018,-22.835,0,0,0,0,0
0.075,84.7305,-21.3777,0,0,0,0,0
0.076,83.0043,-22.1336,0,0,0,0,0
0.077,81.4333,-22.9092,0,0,0,0,0
0.078,75.7627,-15.6275,0,0,0,0,0
