"Timestamp","Chest_Roll_Error","Chest_Pitch_Error","Chest_Yaw_Error","Pelvis_Roll_Error","Pelvis_Pitch_Error","Pelvis_Yaw_Error","LeftFoot_Roll_Error","LeftFoot_Pitch_Error","LeftFoot_Yaw_Error","RightFoot_Roll_Error","RightFoot_Pitch_Error","RightFoot_Yaw_Error"
0.001,-0.00429085,-0.00933913,-0.0329609,-0.00933921,0.00429065,-0.0329199,0,0,-0.0040759,0.00314037,-0.00585692,0.00391641
0.002,-0.00428431,-0.00934161,-0.0329908,-0.00937088,0.00427109,-0.0328856,0,0,-0.00410857,0.00237153,-0.00591679,0.00394473
0.003,-0.00425914,-0.00936087,-0.0329727,-0.00938295,0.00425021,-0.03286,2.93993e-07,5.8171e-07,-0.00413363,0.00186983,-0.00595533,0.00396689
0.004,-0.00422238,-0.00939327,-0.0329419,-0.00936502,0.00422314,-0.0328319,-1.98172e-06,3.35305e-06,-0.00413728,0.00170715,-0.00597382,0.0039696
0.005,-0.00417822,-0.00943052,-0.0329006,-0.00932913,0.00419083,-0.0328019,-6.41232e-06,9.61513e-06,-0.00411896,0.00178017,-0.00597294,0.00395171
0.006,-0.00413245,-0.00946395,-0.0328616,-0.00929601,0.00417559,-0.0327718,-1.25143e-05,2.02053e-05,-0.00408574,0.00186787,-0.00597988,0.00391903
0.007,-0.00409451,-0.00948793,-0.032828,-0.00926945,0.00415822,-0.0327308,-1.94488e-05,3.52675e-05,-0.00403923,0.00195718,-0.00598558,0.00387307
0.008,-0.00406349,-0.00950264,-0.0327923,-0.00924662,0.00414055,-0.0326781,-2.63748e-05,5.41677e-05,-0.00398094,0.00204576,-0.00599128,0.00381533
0.009,-0.00403857,-0.00950835,-0.0327494,-0.00922573,0.00412333,-0.0326126,-3.28089e-05,7.61654e-05,-0.00391321,0.00213178,-0.00599811,0.00374813
0.01,-0.00401896,-0.00950549,-0.0326953,-0.00920558,0.00410698,-0.0325325,-3.84204e-05,0.000100462,-0.00383847,0.00221388,-0.00600695,0.0036739
0.011,-0.00400387,-0.00949464,-0.0326265,-0.00918541,0.00409174,-0.0324361,-4.29247e-05,0.000126253,-0.00375901,0.00229111,-0.0060185,0.00359493
0.012,-0.00399685,-0.0094834,-0.0325731,-0.00917256,0.00408304,-0.0323656,-4.4855e-05,0.000142716,-0.00370801,0.0023357,-0.00602766,0.00354423
0.013,-0.00398752,-0.00946121,-0.0324749,-0.00915137,0.00406986,-0.0322404,-4.68739e-05,0.00016924,-0.00362531,0.0024039,-0.00604469,0.00346198
0.014,-0.00398096,-0.00943303,-0.032356,-0.00912923,0.004058,-0.0320964,-4.69128e-05,0.000195376,-0.00354261,0.0024663,-0.00606549,0.00337972
0.015,-0.00397665,-0.0093997,-0.032215,-0.00910603,0.00404748,-0.0319326,-4.45672e-05,0.000220525,-0.00346122,0.00252293,-0.00609024,0.00329874
0.016,-0.00397413,-0.00936205,-0.0320508,-0.00908166,0.00403832,-0.0317488,-3.94078e-05,0.000244168,-0.00338218,0.002574,-0.00611902,0.00322009
0.017,-0.00397302,-0.00932089,-0.0318632,-0.00905608,0.0040305,-0.0315444,-3.1002e-05,0.000265859,-0.00330629,0.0026198,-0.00615179,0.00314456
0.018,-0.00397303,-0.00927695,-0.0316519,-0.00902924,0.00402403,-0.0313201,-1.89348e-05,0.000285219,-0.0032341,0.00266071,-0.00618844,0.00307272
0.019,-0.00397394,-0.00923091,-0.0314169,-0.00900111,0.00401889,-0.0310755,-2.82988e-06,0.000301936,-0.00316599,0.00269715,-0.00622879,0.00300494
0.02,-0.00397558,-0.00918335,-0.0311589,-0.00897167,0.00401507,-0.0308113,1.76333e-05,0.000315753,-0.00310212,0.00272956,-0.00627258,0.00294139
0.021,-0.00397785,-0.00913478,-0.0308785,-0.00894088,0.00401256,-0.0305276,4.27062e-05,0.000326459,-0.00304254,0.00275841,-0.00631954,0.00288211
0.022,-0.00398136,-0.00907504,-0.0305102,-0.00890175,0.00401121,-0.0301592,7.93546e-05,0.000335203,-0.00297561,0.00278937,-0.00638022,0.00281554
0.023,-0.00398488,-0.00902552,-0.0301836,-0.00886793,0.00401157,-0.0298355,0.000115136,0.00033849,-0.00292497,0.00281184,-0.00643303,0.00276518
0.024,-0.00398899,-0.00897598,-0.0298377,-0.00883274,0.00401321,-0.0294948,0.000155799,0.000338251,-0.0028779,0.0028321,-0.00648792,0.00271839
0.025,-0.00399371,-0.00892655,-0.0294741,-0.00879618,0.00401611,-0.0291378,0.000201261,0.000334414,-0.00283401,0.00285051,-0.00654452,0.00267477
0.026,-0.0039991,-0.0088773,-0.0290937,-0.00875825,0.00402026,-0.0287662,0.000251369,0.000326927,-0.00279287,0.00286742,-0.00660247,0.00263389
0.027,-0.00400522,-0.00882824,-0.028698,-0.00871896,0.00402564,-0.0283804,0.000305909,0.000315752,-0.00275401,0.00288313,-0.00666145,0.0025953
0.028,-0.00401215,-0.00877934,-0.0282881,-0.00867835,0.00403225,-0.0279815,0.000364616,0.000300866,-0.00271697,0.00289794,-0.00672111,0.00255851
0.029,-0.00401995,-0.00873051,-0.0278653,-0.00863643,0.00404007,-0.0275707,0.000427188,0.000282253,-0.00268126,0.00291207,-0.00678114,0.00252307
0.03,-0.00402868,-0.00868166,-0.0274309,-0.00859325,0.00404909,-0.0271485,0.000493293,0.000259905,-0.00264642,0.00292578,-0.00684123,0.00248849
0.031,-0.00403841,-0.00863267,-0.0269858,-0.00854883,0.00405929,-0.0267162,0.00056258,0.000233823,-0.00261202,0.00293924,-0.0069011,0.00245435
0.032,-0.00404867,-0.00858568,-0.0265522,-0.00850532,0.00407014,-0.0262952,0.000631353,0.000205411,-0.00257922,0.00295204,-0.00695774,0.00242181
0.033,-0.00406047,-0.00853604,-0.0260894,-0.0084586,0.00408262,-0.0258458,0.000705824,0.000172044,-0.0025445,0.00296554,-0.00701638,0.00238737
0.034,-0.00407339,-0.00848587,-0.0256193,-0.00841075,0.00409624,-0.0253885,0.000782433,0.000134963,-0.00250911,0.00297929,-0.00707401,0.00235227
0.035,-0.00408746,-0.00843506,-0.0251424,-0.00836183,0.00411099,-0.0249245,0.000860847,9.41794e-05,-0.00247277,0.00299341,-0.0071304,0.00231623
0.036,-0.00410268,-0.0083835,-0.0246598,-0.00831186,0.00412686,-0.0244546,0.000940753,4.97078e-05,-0.00243524,0.00300801,-0.00718531,0.002279
0.037,-0.00411906,-0.00833109,-0.0241721,-0.00826088,0.00414382,-0.0239792,0.00102186,1.56443e-06,-0.00239633,0.00302318,-0.00723855,0.00224041
0.038,-0.00413661,-0.00827775,-0.02368,-0.00820892,0.00416186,-0.0234993,0.00110392,-5.02331e-05,-0.00235591,0.00303902,-0.0072899,0.00220032
0.039,-0.00415531,-0.00822343,-0.0231842,-0.00815602,0.00418097,-0.0230148,0.00118668,-0.000105665,-0.00231388,0.00305561,-0.00733918,0.00215864
0.04,-0.00417515,-0.00816807,-0.0226852,-0.00810221,0.00420111,-0.022527,0.00126995,-0.000164711,-0.00227021,0.00307301,-0.00738619,0.00211532
0.041,-0.00419612,-0.00811165,-0.0221835,-0.00804751,0.00422228,-0.0220358,0.00135355,-0.000227345,-0.00222489,0.00309127,-0.00743076,0.00207037
0.042,-0.00421934,-0.00805115,-0.0216535,-0.00798906,0.00424561,-0.0215163,0.00144169,-0.000297026,-0.0021755,0.00311146,-0.00747488,0.0020214
0.043,-0.00424252,-0.00799252,-0.0211477,-0.00793263,0.00426879,-0.0210199,0.00152554,-0.000366942,-0.00212697,0.00313165,-0.00751396,0.00197327
0.044,-0.00426674,-0.00793283,-0.0206407,-0.0078754,0.00429293,-0.0205219,0.00160936,-0.000440357,-0.00207702,0.00315284,-0.00755012,0.00192375
0.045,-0.00429197,-0.0078721,-0.0201325,-0.00781738,0.00431798,-0.0200219,0.00169307,-0.000517234,-0.0020258,0.00317503,-0.00758324,0.00187297
0.046,-0.00431815,-0.00781037,-0.0196235,-0.00775861,0.00434391,-0.019521,0.00177662,-0.000597533,-0.00197346,0.00319827,-0.00761319,0.00182108
0.047,-0.00434527,-0.00774767,-0.019114,-0.00769911,0.00437071,-0.0190191,0.00185997,-0.000681206,-0.00192018,0.00322255,-0.00763986,0.00176828
0.048,-0.00437328,-0.00768406,-0.0186043,-0.00763889,0.00439832,-0.0185163,0.0019431,-0.000768201,-0.00186614,0.00324787,-0.00766314,0.00171474
0.049,-0.00440213,-0.00761957,-0.0180944,-0.007578,0.00442672,-0.0180132,0.00202599,-0.00085846,-0.00181156,0.00327425,-0.00768293,0.00166068
0.05,-0.00443179,-0.00755427,-0.0175847,-0.00751644,0.00445586,-0.0175099,0.00210864,-0.000951918,-0.00175663,0.00330167,-0.00769915,0.00160628
0.051,-0.00446221,-0.00748822,-0.0170754,-0.00745426,0.0044857,-0.0170069,0.00219105,-0.0010485,-0.00170157,0.00333013,-0.00771173,0.00155177
0.052,-0.00447628,-0.00745798,-0.0168444,-0.00742581,0.00449949,-0.0167785,0.00222838,-0.00109345,-0.00167659,0.00334341,-0.0077161,0.00152705
0.053,-0.00450773,-0.00739092,-0.0163361,-0.00736277,0.00453028,-0.0162761,0.00231045,-0.00119444,-0.00162169,0.00337333,-0.00772328,0.00147272
0.054,-0.00453984,-0.00732325,-0.0158286,-0.00729919,0.00456167,-0.0157743,0.00239228,-0.00129834,-0.00156713,0.00340423,-0.00772668,0.00141876
0.055,-0.00457256,-0.00725501,-0.0153223,-0.00723508,0.0045936,-0.0152733,0.00247389,-0.00140505,-0.00151311,0.00343608,-0.00772627,0.00136536
0.056,-0.0046058,-0.00718627,-0.0148174,-0.0071705,0.00462602,-0.0147738,0.00255526,-0.00151448,-0.00145981,0.00346885,-0.00772203,0.0013127
0.057,-0.00463954,-0.00711708,-0.0143139,-0.00710549,0.00465889,-0.0142758,0.00263639,-0.0016265,-0.00140739,0.00350251,-0.00771395,0.00126092
0.058,-0.00467374,-0.00704749,-0.0138124,-0.00704008,0.00469215,-0.0137796,0.00271728,-0.00174099,-0.00135598,0.003537,-0.00770202,0.00121018
0.059,-0.00470833,-0.00697756,-0.0133129,-0.00697432,0.00472574,-0.0132854,0.00279791,-0.00185781,-0.00130574,0.00357229,-0.00768628,0.00116062
0.06,-0.00474326,-0.00690734,-0.012816,-0.00690826,0.0047596,-0.0127938,0.00287824,-0.00197682,-0.00125677,0.00360832,-0.00766673,0.00111235
0.061,-0.00477846,-0.00683688,-0.0123216,-0.00684195,0.00479368,-0.012305,0.00295825,-0.00209787,-0.00120919,0.00364505,-0.00764341,0.00106549
0.062,-0.00482718,-0.00673979,-0.0116473,-0.00675052,0.00484073,-0.0116384,0.0030676,-0.00226726,-0.00114625,0.00369656,-0.00760529,0.00100355
0.063,-0.0048628,-0.00666898,-0.0111607,-0.00668384,0.00487506,-0.0111575,0.00314668,-0.0023925,-0.00110229,0.00373471,-0.00757326,0.000960331
0.064,-0.00489849,-0.00659813,-0.0106779,-0.00661708,0.00490938,-0.0106807,0.00322529,-0.00251921,-0.00105997,0.00377335,-0.00753768,0.000918756
0.065,-0.00493417,-0.00652727,-0.0101993,-0.00655032,0.00494363,-0.0102081,0.00330336,-0.0026472,-0.0010193,0.00381242,-0.00749864,0.000878864
0.066,-0.00496978,-0.00645648,-0.00972521,-0.00648362,0.00497774,-0.00974011,0.00338082,-0.00277628,-0.000980348,0.00385185,-0.00745623,0.000840677
0.067,-0.00500525,-0.00638581,-0.00925612,-0.00641704,0.00501163,-0.00927734,0.0034576,-0.00290626,-0.00094311,0.00389156,-0.00741058,0.000804221
0.068,-0.00504049,-0.00631532,-0.00879228,-0.00635065,0.00504523,-0.0088203,0.00353362,-0.00303691,-0.000907599,0.00393148,-0.00736179,0.000769495
0.069,-0.00507545,-0.00624507,-0.00833428,-0.00628451,0.00507848,-0.00836873,0.0036088,-0.00316802,-0.000873814,0.00397153,-0.00731001,0.000736499
0.07,-0.00511003,-0.00617512,-0.00788248,-0.00621869,0.00511128,-0.00792384,0.00368305,-0.00329939,-0.000841749,0.00401163,-0.00725537,0.000705228
0.071,-0.00514417,-0.00610555,-0.00743723,-0.00615327,0.00514357,-0.00748539,0.00375627,-0.00343077,-0.000811385,0.00405168,-0.00719803,0.000675659
0.072,-0.00518021,-0.00603139,-0.00696719,-0.00608357,0.00517756,-0.00702286,0.00383362,-0.00357151,-0.000780653,0.00409452,-0.00713372,0.000645772
0.073,-0.00521316,-0.00596281,-0.00653696,-0.00601918,0.00520853,-0.0065999,0.00390443,-0.00370219,-0.000753747,0.00413421,-0.0070713,0.000619653
0.074,-0.00524541,-0.00589482,-0.00611472,-0.00595539,0.00523874,-0.00618482,0.00397392,-0.00383217,-0.000728469,0.00417357,-0.0070067,0.000595152
0.075,-0.00526978,-0.00583298,-0.0056107,-0.00585066,0.00530659,-0.005862,0.00404146,-0.00396171,-0.000617101,0.0029626,-0.00713499,0.000476444
0.076,-0.00528848,-0.00577475,-0.00514054,-0.0057235,0.00539349,-0.00555134,0.00410412,-0.00409151,-0.000508795,0.00136653,-0.00732766,0.000357765
0.077,-0.00530573,-0.00571601,-0.00472891,-0.00558816,0.0054832,-0.00522518,0.0041606,-0.00422082,-0.00043121,-0.00014793,-0.00750938,0.000269792
0.078,-0.00531874,-0.00565396,-0.00451183,-0.00545773,0.00548038,-0.00482893,0.00421021,-0.00434959,-0.000535614,-0.000463055,-0.00744468,0.000372596
0.079,-0.00530522,-0.00557767,-0.00433493,-0.00529237,0.00544835,-0.00442505,0.00425469,-0.0044765,-0.000698156,-0.000373938,-0.00750988,0.000536523
0.08,-0.00526542,-0.00547679,-0.00412178,-0.00509632,0.00543772,-0.00400043,0.00429041,-0.00459915,-0.000851543,-0.000306384,-0.0076428,0.00069107
0.081,-0.00520998,-0.00534697,-0.00386906,-0.00486497,0.00544704,-0.00352168,0.00431199,-0.00471505,-0.000993164,-0.000252183,-0.0077568,0.000833681
