"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.001,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121975,94.498,-21.111,892.433
0.002,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0,0,-0.00971164,172.01,-2.98578,0.0454712,94.4948,-21.1223,892.456
0.003,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.013627,-0.00961826,0.0168435,172.003,-2.98272,0.107338,94.4892,-21.1364,892.495
0.004,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0362023,-0.0432105,0.0724609,172.001,-2.98176,0.187128,94.4812,-21.1503,892.55
0.005,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0645851,-0.097102,0.156325,172.004,-2.98317,0.276423,94.4715,-21.163,892.612
0.006,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0899608,-0.166036,0.254864,172.016,-3.00714,0.359285,94.4618,-21.1756,892.664
0.007,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.102896,-0.246492,0.34955,172.039,-3.05129,0.445326,94.4522,-21.1879,892.705
0.008,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.104435,-0.338838,0.444475,172.071,-3.11338,0.533382,94.4428,-21.2001,892.737
0.009,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0953516,-0.4431,0.539881,172.112,-3.19147,0.622986,94.4335,-21.2121,892.759
0.01,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,0.0765325,-0.55967,0.635916,172.16,-3.28385,0.713842,94.4243,-21.224,892.771
