"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.001,93.3686,-21.5834,86.1268,-1.48235,86.1268,-1.48235,93.3686,-21.5834,0,0,0,0,0,0
0.002,93.3655,-21.595,86.1226,-1.48062,86.1226,-1.48062,93.3655,-21.595,-0.227537,-0.841678,1.66899,0.346831,-0.46598,-0.129276
0.003,281.65,250.793,86.1259,-1.48391,86.1259,-1.48391,219.032,140.974,-0.376867,-1.05772,2.86168,0.629361,-0.815638,-0.155161
0.004,302.112,-24.0945,86.1361,-1.50022,86.1361,-1.50022,223.403,135.404,-0.542421,-1.05576,3.97395,0.890453,-1.15563,-0.146237
0.005,248.259,-153.332,86.1519,-1.52787,86.1519,-1.52787,225.412,124.946,-0.665267,-0.951327,4.41705,1.04895,-1.34843,-0.131364
0.006,98.0626,-94.945,86.1707,-1.57432,86.1707,-1.57432,159.012,233.568,-0.669016,-0.893208,3.65995,1.05169,-1.27425,-0.140333
0.007,104.616,-87.5994,86.1886,-1.63662,86.1886,-1.63662,-997.544,1620.27,-0.677969,-0.840926,2.9489,1.05484,-1.21603,-0.148224
0.008,100.555,-78.7546,86.2054,-1.71384,86.2054,-1.71384,-290.109,376.997,-0.683709,-0.795668,2.23081,1.06463,-1.15458,-0.158248
0.009,97.9393,-71.7668,86.2213,-1.805,86.2213,-1.805,-185.237,67.674,-0.687383,-0.755959,1.51228,1.07887,-1.0917,-0.16957
0.01,96.4048,-66.9552,86.2361,-1.90946,86.2361,-1.90946,-141.995,-138.97,-0.689848,-0.720074,0.793764,1.09621,-1.02817,-0.181824
0.011,95.5566,-63.5966,86.25,-2.02677,86.25,-2.02677,-128.82,-287.364,-0.691648,-0.686859,0.0753955,1.11573,-0.96444,-0.194807
0.012,95.0967,-61.187,86.2582,-2.10733,86.2582,-2.10733,-132.044,-400.27,-0.693089,-0.655559,-0.642734,1.13682,-0.900729,-0.20838
0.013,94.835,-59.381,86.2709,-2.2447,86.2709,-2.2447,-143.811,-492.25,-0.694329,-0.625697,-1.36055,1.1591,-0.837149,-0.222427
0.014,94.67,-57.932,86.2831,-2.39408,86.2831,-2.39408,-160.457,-572.78,-0.695446,-0.59699,-2.07798,1.18231,-0.773752,-0.236841
0.015,94.5475,-56.6788,86.2948,-2.55519,86.2948,-2.55519,-179.644,-647.905,-0.696474,-0.569282,-2.79498,1.20629,-0.71055,-0.251518
0.016,94.4389,-55.5251,86.3062,-2.72773,86.3062,-2.72773,-200.399,-720.777,-0.697424,-0.542493,-3.51151,1.23091,-0.647538,-0.266353
0.017,94.3389,-54.4146,86.3173,-2.91139,86.3173,-2.91139,-222.398,-792.561,-0.698302,-0.516591,-4.22754,1.25607,-0.584707,-0.281245
0.018,94.243,-53.3173,86.3282,-3.10584,86.3282,-3.10584,-245.553,-863.576,-0.699111,-0.49156,-4.94305,1.28168,-0.522044,-0.29609
0.019,94.1544,-52.2282,86.3389,-3.31074,86.3389,-3.31074,-270.099,-933.308,-0.699858,-0.467397,-5.65803,1.30762,-0.459538,-0.310792
0.02,94.0784,-51.1477,86.3494,-3.52573,86.3494,-3.52573,-296.041,-1000.31,-0.700552,-0.444095,-6.37249,1.3338,-0.397177,-0.325257
0.021,94.0167,-50.0788,86.3598,-3.75047,86.3598,-3.75047,-324.166,-1063.83,-0.701206,-0.421641,-7.08641,1.36011,-0.334955,-0.339399
0.022,93.9731,-49.034,86.3723,-4.03546,86.3723,-4.03546,-354.114,-1122.26,-0.701836,-0.40002,-7.7998,1.38643,-0.272863,-0.353138
0.023,93.9506,-48.0146,86.3826,-4.28051,86.3826,-4.28051,-387.08,-1175.63,-0.702452,-0.379209,-8.51265,1.41265,-0.210895,-0.366405
0.024,93.9447,-47.0275,86.3927,-4.53419,86.3927,-4.53419,-422.64,-1222.05,-0.703075,-0.359181,-9.22499,1.43867,-0.149042,-0.379141
0.025,93.8596,-46.0663,86.4028,-4.79615,86.4028,-4.79615,-461.74,-1263.16,-0.703638,-0.339919,-9.9368,1.46439,-0.0872954,-0.391293
0.026,93.8987,-45.1469,86.413,-5.06607,86.413,-5.06607,-504.662,-1296.32,-0.704239,-0.321385,-10.6481,1.48971,-0.0256486,-0.402825
0.027,93.9531,-44.2643,86.4231,-5.34362,86.4231,-5.34362,-553.701,-1325.7,-0.70489,-0.303553,-11.3589,1.51457,0.0359036,-0.413709
0.028,94.0103,-43.4083,86.4333,-5.6285,86.4333,-5.6285,-607.59,-1347.06,-0.705597,-0.2864,-12.0691,1.5389,0.0973696,-0.423929
0.029,94.0775,-42.5757,86.4436,-5.92041,86.4436,-5.92041,-670.47,-1367.1,-0.706363,-0.269909,-12.7789,1.56266,0.158758,-0.433476
0.03,94.1448,-41.761,86.454,-6.21905,86.454,-6.21905,-743.076,-1384.64,-0.707191,-0.254065,-13.4881,1.58581,0.220076,-0.442353
0.031,94.2131,-40.9569,86.4645,-6.52412,86.4645,-6.52412,-828.432,-1401.96,-0.70808,-0.238857,-14.1968,1.60834,0.281335,-0.450567
0.032,94.2757,-40.1635,86.4747,-6.82098,86.4747,-6.82098,-932.517,-1423.57,-0.709029,-0.22428,-14.905,1.63024,0.342541,-0.458133
0.033,94.3363,-39.3719,86.4856,-7.13779,86.4856,-7.13779,-1061.63,-1452.24,-0.710033,-0.210331,-15.6127,1.65151,0.403703,-0.465074
0.034,94.3885,-38.5816,86.4967,-7.46019,86.4967,-7.46019,-1230.75,-1498.89,-0.711089,-0.19701,-16.3198,1.67217,0.464829,-0.471416
0.035,94.4376,-37.783,86.508,-7.78789,86.508,-7.78789,-1458.37,-1568.63,-0.712188,-0.184322,-17.0264,1.69224,0.525925,-0.477189
0.036,94.4757,-36.9808,86.5197,-8.12061,86.5197,-8.12061,-1784.78,-1682.9,-0.713329,-0.17227,-17.7324,1.71174,0.586998,-0.482425
0.037,94.5069,-36.1675,86.5316,-8.45804,86.5316,-8.45804,-2300.45,-1885.01,-0.714502,-0.160864,-18.4379,1.73072,0.648055,-0.487158
0.038,94.5303,-35.3472,86.5439,-8.7999,86.5439,-8.7999,-3243.16,-2286.33,-0.7157,-0.150111,-19.1429,1.74919,0.7091,-0.491424
0.039,94.5438,-34.5134,86.5565,-9.1459,86.5565,-9.1459,-5553.33,-3329.02,-0.71692,-0.140019,-19.8473,1.7672,0.770137,-0.495257
0.04,94.5518,-33.6704,86.5696,-9.49573,86.5696,-9.49573,-19057.4,-9582.67,-0.718153,-0.130596,-20.5511,1.78478,0.831173,-0.498691
0.041,94.5502,-32.8171,86.583,-9.84911,86.583,-9.84911,12375.9,5126.1,-0.719394,-0.121852,-21.2543,1.80196,0.892213,-0.501759
0.042,94.5419,-31.9557,86.5975,-10.2243,86.5975,-10.2243,4675.04,1557.19,-0.720637,-0.113794,-21.957,1.81879,0.953257,-0.504492
0.043,94.5257,-31.0843,86.6117,-10.584,86.6117,-10.584,2855.09,738.958,-0.721876,-0.106427,-22.6591,1.83529,1.01432,-0.506917
0.044,94.5081,-30.2076,86.6264,-10.9463,86.6264,-10.9463,2035.97,387.97,-0.723109,-0.0997597,-23.3605,1.85149,1.07539,-0.509061
0.045,94.4807,-29.3248,86.6415,-11.3109,86.6415,-11.3109,1575.45,200.098,-0.724326,-0.0937941,-24.0614,1.86741,1.13648,-0.510944
0.046,94.4456,-28.4388,86.657,-11.6775,86.657,-11.6775,1277.88,86.6383,-0.725527,-0.0885355,-24.7616,1.88308,1.1976,-0.512586
0.047,94.4098,-27.5515,86.673,-12.0459,86.673,-12.0459,1068.53,12.9979,-0.726708,-0.0839853,-25.4613,1.89851,1.25875,-0.514004
0.048,94.365,-26.658,86.6895,-12.4155,86.6895,-12.4155,911.998,-37.9125,-0.72786,-0.0801459,-26.1603,1.91371,1.31994,-0.515209
0.049,94.3182,-25.7687,86.7064,-12.7863,86.7064,-12.7863,791.464,-74.2557,-0.728985,-0.0770178,-26.8586,1.9287,1.38117,-0.51621
0.05,94.2649,-24.8772,86.7238,-13.1579,86.7238,-13.1579,695.013,-101.241,-0.730075,-0.0746016,-27.5563,1.94348,1.44246,-0.517014
0.051,94.2083,-23.9885,86.7416,-13.5299,86.7416,-13.5299,615.702,-122.109,-0.731127,-0.0728971,-28.2534,1.95806,1.5038,-0.517625
0.052,94.15,-23.1022,86.7499,-13.6988,86.7499,-13.6988,548.965,-138.454,-0.732139,-0.0719014,-28.9498,1.97245,1.56521,-0.518041
0.053,94.0832,-22.2163,86.7683,-14.0709,86.7683,-14.0709,492.116,-152.065,-0.733106,-0.0716156,-29.6456,1.98664,1.6267,-0.518265
0.054,94.0158,-21.3303,86.7873,-14.4428,86.7873,-14.4428,443.486,-163.864,-0.734025,-0.0720391,-30.3406,2.00062,1.68826,-0.518246
0.055,93.9377,-20.4646,86.8067,-14.814,86.8067,-14.814,398.44,-173.593,-0.734893,-0.0731577,-31.0351,2.01441,1.74994,-0.518097
0.056,93.8512,-19.5807,86.8265,-15.1843,86.8265,-15.1843,359.65,-182.532,-0.735698,-0.0749874,-31.7288,2.02799,1.81172,-0.517701
0.057,93.7688,-18.7093,86.8467,-15.5535,86.8467,-15.5535,324.986,-190.951,-0.736447,-0.0775167,-32.4218,2.04135,1.8736,-0.51708
0.058,93.6796,-17.8409,86.8674,-15.9211,86.8674,-15.9211,293.082,-198.488,-0.737133,-0.0807451,-33.1141,2.0545,1.93561,-0.516223
0.059,93.5889,-16.978,86.8885,-16.287,86.8885,-16.287,264.235,-205.723,-0.737753,-0.08467,-33.8058,2.06742,1.99775,-0.515122
0.06,93.4883,-16.1151,86.9099,-16.6507,86.9099,-16.6507,237.553,-212.565,-0.738301,-0.0892917,-34.4967,2.08012,2.06004,-0.513763
0.061,93.3833,-15.2575,86.9318,-17.0121,86.9318,-17.0121,212.934,-219.089,-0.738776,-0.094606,-35.1869,2.09257,2.12248,-0.512135
0.062,93.2741,-14.4023,86.9624,-17.5041,86.9624,-17.5041,189.735,-225.202,-0.739173,-0.100613,-35.8764,2.10478,2.18508,-0.510226
0.063,93.1584,-13.5502,86.9851,-17.8586,86.9851,-17.8586,168.364,-231.19,-0.739485,-0.107312,-36.5651,2.11673,2.24786,-0.508025
0.064,93.0438,-12.6975,87.0082,-18.2097,87.0082,-18.2097,148.444,-236.934,-0.739713,-0.114702,-37.2531,2.12844,2.31081,-0.505519
0.065,92.9223,-11.85,87.0315,-18.5571,87.0315,-18.5571,129.653,-242.224,-0.739852,-0.122782,-37.9404,2.13987,2.37395,-0.502697
0.066,92.7949,-11.0026,87.0551,-18.9006,87.0551,-18.9006,111.829,-247.401,-0.739897,-0.13155,-38.6269,2.15104,2.43729,-0.49955
0.067,92.6667,-10.1609,87.079,-19.2398,87.079,-19.2398,95.2935,-252.35,-0.739847,-0.141005,-39.3127,2.16194,2.50084,-0.496068
0.068,92.5326,-9.31765,87.1032,-19.5745,87.1032,-19.5745,79.6233,-257.066,-0.739697,-0.151149,-39.9977,2.17255,2.5646,-0.492241
0.069,92.396,-8.47636,87.1276,-19.9043,87.1276,-19.9043,64.6968,-261.491,-0.739444,-0.161979,-40.682,2.18289,2.62857,-0.488063
0.07,92.2557,-7.64003,87.1521,-20.2291,87.1521,-20.2291,50.7129,-265.76,-0.739087,-0.173497,-41.3655,2.19295,2.69277,-0.483525
